time,open,high,low,close,tick_volume,spread,real_volume
2020-12-18T00:00:00+00:00,10.05,10.09,9.97,9.97,26,0,2600
2020-12-21T00:00:00+00:00,9.99,10.05,9.99,10.05,5,0,2700
2020-12-22T00:00:00+00:00,10.0,10.1,9.97,10.02,60,0,32445
2020-12-23T00:00:00+00:00,10.23,10.23,10.0,10.11,25,0,5250
2020-12-24T00:00:00+00:00,10.05,10.19,9.99,10.03,441,0,133859
2020-12-28T00:00:00+00:00,11.82,11.82,10.2,10.41,218,0,179133
2020-12-29T00:00:00+00:00,10.4,10.4,10.15,10.22,331,0,85287
2020-12-30T00:00:00+00:00,10.45,10.45,10.19,10.2,83,0,43225
2020-12-31T00:00:00+00:00,10.19,10.2,10.06,10.06,36,0,20294
2021-01-04T00:00:00+00:00,10.11,10.15,10.08,10.09,101,0,19518
2021-01-05T00:00:00+00:00,10.28,10.28,10.14,10.16,132,0,98037
2021-01-06T00:00:00+00:00,10.25,10.52,10.14,10.15,253,0,79367
2021-01-07T00:00:00+00:00,10.31,10.39,10.12,10.29,97,0,29682
2021-01-08T00:00:00+00:00,10.27,10.42,10.23,10.42,1212,0,174871
2021-01-11T00:00:00+00:00,10.4,10.4,10.26,10.35,388,0,91790
2021-01-12T00:00:00+00:00,10.4,10.68,10.32,10.43,455,0,118665
2021-01-13T00:00:00+00:00,10.5,10.68,10.45,10.46,761,0,438654
2021-01-14T00:00:00+00:00,10.58,10.58,10.45,10.47,572,0,831481
2021-01-15T00:00:00+00:00,10.51,10.54,10.39,10.42,359,0,124282
2021-01-19T00:00:00+00:00,10.44,10.6,10.41,10.56,926,0,983483
2021-01-20T00:00:00+00:00,10.56,10.56,10.46,10.5,281,0,147210
2021-01-21T00:00:00+00:00,10.6,10.7,10.52,10.6,372,0,118685
2021-01-22T00:00:00+00:00,10.55,10.66,10.48,10.6,735,0,286876
2021-01-25T00:00:00+00:00,10.7,10.87,10.54,10.74,1459,0,301591
2021-01-26T00:00:00+00:00,10.85,10.9,10.53,10.55,363,0,287284
2021-01-27T00:00:00+00:00,10.4,10.5,10.21,10.24,1022,0,267042
2021-01-28T00:00:00+00:00,10.4,10.56,10.29,10.39,982,0,338823
2021-01-29T00:00:00+00:00,10.5,10.5,10.28,10.34,511,0,177482
2021-02-01T00:00:00+00:00,10.52,10.7,10.4,10.67,381,0,105135
2021-02-02T00:00:00+00:00,10.71,10.88,10.64,10.75,643,0,188629
2021-02-03T00:00:00+00:00,10.76,11.11,10.69,10.8,1755,0,347559
2021-02-04T00:00:00+00:00,11.02,11.23,10.95,11.0,1656,0,566993
2021-02-05T00:00:00+00:00,11.15,11.78,11.02,11.3,1815,0,523181
2021-02-08T00:00:00+00:00,11.4,11.66,11.19,11.32,1161,0,365806
2021-02-09T00:00:00+00:00,11.41,11.52,11.12,11.17,1041,0,221753
2021-02-10T00:00:00+00:00,15.43,15.75,13.4,13.55,53597,0,13505271
2021-02-11T00:00:00+00:00,14.52,14.84,13.56,13.99,30174,0,7623857
2021-02-12T00:00:00+00:00,13.83,13.85,13.0,13.5,14670,0,3886316
2021-02-16T00:00:00+00:00,14.85,14.86,13.61,14.11,16643,0,4426414
2021-02-17T00:00:00+00:00,16.43,16.5,15.17,16.15,30940,0,8834746
2021-02-18T00:00:00+00:00,16.42,18.6,16.16,17.25,33912,0,10080449
2021-02-19T00:00:00+00:00,17.6,18.08,16.0,16.26,18054,0,5609977
2021-02-22T00:00:00+00:00,16.55,17.29,14.51,14.93,17420,0,5429919
2021-02-23T00:00:00+00:00,13.4,13.86,11.64,13.39,18919,0,6224419
2021-02-24T00:00:00+00:00,13.58,14.26,13.01,13.51,13047,0,3108187
2021-02-25T00:00:00+00:00,13.26,13.4,12.05,12.17,14189,0,4023259
2021-02-26T00:00:00+00:00,12.64,12.9,11.88,11.91,14087,0,4301168
2021-03-02T00:00:00+00:00,13.1,13.42,12.28,12.41,14235,0,4507206
2021-03-03T00:00:00+00:00,12.5,12.73,11.2,11.24,13705,0,4482662
2021-03-04T00:00:00+00:00,11.14,11.53,10.25,10.79,14875,0,5012186
2021-03-05T00:00:00+00:00,10.75,11.26,10.23,11.02,11364,0,4423091
2021-03-08T00:00:00+00:00,10.93,11.39,10.53,10.71,5527,0,2241259
2021-03-09T00:00:00+00:00,11.0,11.15,10.66,10.96,6331,0,2208436
2021-03-10T00:00:00+00:00,11.03,11.11,10.58,10.77,5312,0,2158703
2021-03-11T00:00:00+00:00,10.99,11.28,10.82,11.21,6238,0,2201196
2021-03-12T00:00:00+00:00,10.88,11.17,10.76,11.15,4314,0,1326712
2021-03-15T00:00:00+00:00,10.94,10.96,10.8,10.9,3094,0,1024285
2021-03-16T00:00:00+00:00,10.81,10.86,10.52,10.6,3270,0,1222997
2021-03-17T00:00:00+00:00,10.45,10.59,10.37,10.47,4193,0,1199769
2021-03-18T00:00:00+00:00,10.54,10.59,10.28,10.3,3095,0,1145565
2021-03-19T00:00:00+00:00,10.33,10.72,10.26,10.59,2920,0,1066191
2021-03-22T00:00:00+00:00,10.64,10.75,10.48,10.56,2493,0,666689
2021-03-23T00:00:00+00:00,10.42,10.42,10.28,10.33,2522,0,854337
2021-03-24T00:00:00+00:00,10.3,10.3,9.93,10.07,4988,0,2616939
2021-03-25T00:00:00+00:00,10.01,10.15,9.98,10.07,4864,0,2404549
2021-03-26T00:00:00+00:00,10.08,10.15,10.04,10.1,2371,0,961365
2021-03-29T00:00:00+00:00,10.13,10.35,10.04,10.3,3370,0,958473
2021-03-30T00:00:00+00:00,10.16,10.34,10.04,10.12,2717,0,779001
2021-03-31T00:00:00+00:00,10.16,10.22,10.05,10.05,4161,0,1116545
2021-04-01T00:00:00+00:00,10.08,10.22,10.06,10.13,2011,0,682201
