time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,22.62,23.08,22.6,22.83,975,0,847200
2003-09-11T00:00:00+00:00,22.86,23.6,22.86,23.36,828,0,797000
2003-09-12T00:00:00+00:00,23.2,23.22,23.01,23.2,746,0,299700
2003-09-15T00:00:00+00:00,23.25,23.27,22.63,22.72,757,0,368400
2003-09-16T00:00:00+00:00,22.9,22.9,22.37,22.5,834,0,384600
2003-09-17T00:00:00+00:00,22.35,22.48,22.19,22.22,835,0,388400
2003-09-18T00:00:00+00:00,22.15,22.73,22.13,22.37,818,0,656900
2003-09-19T00:00:00+00:00,22.42,22.85,22.42,22.77,907,0,519600
2003-09-22T00:00:00+00:00,22.58,22.58,21.97,22.05,1010,0,456500
2003-09-23T00:00:00+00:00,22.06,22.3,22.03,22.2,744,0,512200
2003-09-24T00:00:00+00:00,22.04,22.62,22.04,22.33,844,0,331400
2003-09-25T00:00:00+00:00,22.3,22.69,22.12,22.36,854,0,411100
2003-09-26T00:00:00+00:00,22.3,22.3,21.42,21.42,936,0,393200
2003-09-29T00:00:00+00:00,21.6,22.37,21.53,22.31,800,0,383500
2003-09-30T00:00:00+00:00,22.2,22.48,21.81,22.21,685,0,305100
2003-10-01T00:00:00+00:00,22.21,22.77,22.06,22.77,610,0,258100
2003-10-02T00:00:00+00:00,22.8,23.15,22.76,23.04,593,0,332700
2003-10-03T00:00:00+00:00,23.3,23.71,23.12,23.71,818,0,474600
2003-10-06T00:00:00+00:00,23.48,23.79,23.34,23.5,545,0,255500
2003-10-07T00:00:00+00:00,23.24,24.44,23.15,24.36,989,0,544500
2003-10-08T00:00:00+00:00,24.27,24.38,23.91,24.14,618,0,206600
2003-10-09T00:00:00+00:00,24.24,24.83,24.24,24.68,638,0,539400
2003-10-10T00:00:00+00:00,24.7,24.87,24.51,24.61,515,0,534000
2003-10-13T00:00:00+00:00,24.74,25.0,24.47,24.68,636,0,267400
2003-10-14T00:00:00+00:00,24.75,25.35,24.65,25.24,736,0,283400
2003-10-15T00:00:00+00:00,25.24,25.43,24.67,24.99,685,0,796100
2003-10-16T00:00:00+00:00,25.24,25.25,24.9,25.16,595,0,263100
2003-10-17T00:00:00+00:00,25.17,25.28,24.47,24.65,746,0,668600
2003-10-20T00:00:00+00:00,23.99,24.35,23.77,23.82,1459,0,772200
