time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,39.08,39.12,36.0,36.6,3201,0,282936
2003-09-11T00:00:00+00:00,37.32,38.4,36.36,37.72,2579,0,225236
2003-09-12T00:00:00+00:00,37.84,38.48,36.8,38.2,1616,0,98790
2003-09-15T00:00:00+00:00,38.36,38.76,36.88,37.2,1816,0,157442
2003-09-16T00:00:00+00:00,37.2,38.6,36.68,37.96,2485,0,197713
2003-09-17T00:00:00+00:00,37.88,38.8,37.8,38.4,1488,0,108977
2003-09-18T00:00:00+00:00,38.36,39.72,37.08,39.72,2856,0,324509
2003-09-19T00:00:00+00:00,39.12,40.0,38.16,38.16,2593,0,216138
2003-09-22T00:00:00+00:00,38.0,38.0,36.56,36.76,2639,0,270833
2003-09-23T00:00:00+00:00,37.08,39.48,36.92,38.0,4528,0,516551
2003-09-24T00:00:00+00:00,38.0,38.4,34.92,34.92,3379,0,328799
2003-09-25T00:00:00+00:00,35.0,36.08,33.92,34.68,3592,0,403020
2003-09-26T00:00:00+00:00,35.04,35.2,33.24,33.48,2608,0,247932
2003-09-29T00:00:00+00:00,33.64,35.4,33.6,35.4,3197,0,310535
2003-09-30T00:00:00+00:00,35.28,35.28,33.0,33.04,2838,0,267678
2003-10-01T00:00:00+00:00,33.52,34.68,33.52,33.88,2126,0,160575
2003-10-02T00:00:00+00:00,34.2,35.08,33.72,33.96,1928,0,174995
2003-10-03T00:00:00+00:00,34.64,38.96,34.24,37.92,5514,0,611799
2003-10-06T00:00:00+00:00,37.8,38.04,37.08,37.2,2320,0,252293
2003-10-07T00:00:00+00:00,37.16,39.56,37.0,39.48,2395,0,248219
2003-10-08T00:00:00+00:00,39.24,39.6,37.48,37.64,1956,0,171627
2003-10-09T00:00:00+00:00,38.0,39.44,37.92,38.56,2697,0,276951
2003-10-10T00:00:00+00:00,38.8,39.32,37.4,37.84,1491,0,130489
2003-10-13T00:00:00+00:00,37.6,40.6,37.24,39.2,2434,0,250281
2003-10-14T00:00:00+00:00,39.4,40.56,38.4,40.32,2076,0,227318
2003-10-15T00:00:00+00:00,41.24,42.24,40.52,40.92,3717,0,398580
2003-10-16T00:00:00+00:00,40.6,40.84,39.24,40.84,3058,0,321377
2003-10-17T00:00:00+00:00,40.92,41.04,38.92,38.96,1920,0,183630
2003-10-20T00:00:00+00:00,39.0,39.88,38.56,38.8,1713,0,162647
2003-10-21T00:00:00+00:00,38.8,39.56,38.8,39.12,2340,0,188788
2003-10-22T00:00:00+00:00,39.0,39.0,36.92,37.44,2308,0,182988
2003-10-23T00:00:00+00:00,36.4,36.64,34.0,35.0,2622,0,262546
2003-10-24T00:00:00+00:00,34.88,36.0,34.44,35.08,2065,0,135913
2003-10-27T00:00:00+00:00,35.24,35.96,34.84,35.24,1705,0,148238
2003-10-28T00:00:00+00:00,40.2,40.76,39.2,40.36,8596,0,1808906
2003-10-29T00:00:00+00:00,40.0,42.76,39.64,42.48,6918,0,1019192
2003-10-30T00:00:00+00:00,43.32,44.2,41.52,42.12,4480,0,485453
2003-10-31T00:00:00+00:00,41.92,43.32,41.68,42.44,3089,0,410998
2003-11-03T00:00:00+00:00,43.0,46.4,42.56,45.88,4218,0,565872
2003-11-04T00:00:00+00:00,46.04,46.48,45.16,45.32,3025,0,358851
2003-11-05T00:00:00+00:00,45.76,45.8,43.0,44.6,3708,0,304768
2003-11-06T00:00:00+00:00,44.84,46.64,44.2,46.4,3222,0,449045
2003-11-07T00:00:00+00:00,46.8,48.28,45.12,45.68,4068,0,341879
2003-11-10T00:00:00+00:00,46.48,46.48,43.28,43.4,2869,0,263030
2003-11-11T00:00:00+00:00,43.08,44.0,42.44,43.4,2336,0,186095
2003-11-12T00:00:00+00:00,44.2,47.72,44.2,47.36,4996,0,503574
2003-11-13T00:00:00+00:00,46.8,47.0,45.24,46.76,4343,0,366343
2003-11-14T00:00:00+00:00,46.88,47.76,44.04,44.36,3252,0,288271
2003-11-17T00:00:00+00:00,44.2,44.2,41.8,43.64,3012,0,239685
2003-11-18T00:00:00+00:00,43.6,44.72,42.2,42.8,3208,0,282666
2003-11-19T00:00:00+00:00,42.6,43.2,41.52,42.76,4064,0,385711
2003-11-20T00:00:00+00:00,42.64,42.96,41.16,42.08,3438,0,323984
2003-11-21T00:00:00+00:00,42.6,43.08,41.48,42.84,2784,0,216051
2003-11-24T00:00:00+00:00,43.52,45.4,43.0,45.4,3154,0,283469
2003-11-25T00:00:00+00:00,46.12,46.96,45.24,45.64,3307,0,250032
2003-11-26T00:00:00+00:00,46.0,46.12,44.08,45.2,2037,0,182529
2003-11-28T00:00:00+00:00,44.8,45.96,44.6,45.92,1041,0,74054
2003-12-01T00:00:00+00:00,46.0,47.0,45.64,45.92,2975,0,225820
2003-12-02T00:00:00+00:00,45.8,46.84,44.44,44.64,3495,0,394968
2003-12-03T00:00:00+00:00,45.32,46.04,43.6,43.64,3458,0,408090
2003-12-04T00:00:00+00:00,43.84,44.36,41.04,42.56,3596,0,457257
2003-12-05T00:00:00+00:00,42.0,42.2,39.6,40.6,3828,0,503197
2003-12-08T00:00:00+00:00,40.6,41.28,38.84,39.68,3307,0,361444
2003-12-09T00:00:00+00:00,40.2,40.36,37.68,38.0,3246,0,387359
2003-12-10T00:00:00+00:00,38.04,38.4,37.08,37.6,2792,0,447232
2003-12-11T00:00:00+00:00,37.2,39.6,37.2,39.28,3006,0,240196
2003-12-12T00:00:00+00:00,39.72,40.0,38.12,39.68,2196,0,182069
2003-12-15T00:00:00+00:00,41.64,41.68,37.48,37.6,2704,0,250293
2003-12-16T00:00:00+00:00,38.24,38.92,36.96,38.64,3087,0,265591
2003-12-17T00:00:00+00:00,38.32,38.64,37.24,38.2,2430,0,213833
2003-12-18T00:00:00+00:00,38.2,39.92,37.44,39.6,2328,0,225924
2003-12-19T00:00:00+00:00,39.84,40.36,38.56,39.56,2957,0,250660
2003-12-22T00:00:00+00:00,38.72,40.2,37.92,39.16,2305,0,184370
2003-12-23T00:00:00+00:00,38.88,40.8,38.6,40.76,2094,0,154038
2003-12-24T00:00:00+00:00,40.48,41.0,40.04,40.32,1192,0,91026
2003-12-26T00:00:00+00:00,40.64,40.8,40.12,40.44,419,0,27919
2003-12-29T00:00:00+00:00,40.32,41.88,40.2,41.76,2334,0,153290
2003-12-30T00:00:00+00:00,41.2,41.76,40.64,41.76,1978,0,157604
2003-12-31T00:00:00+00:00,41.44,41.76,40.52,41.2,2323,0,190964
2004-01-02T00:00:00+00:00,41.6,41.72,39.56,40.16,1552,0,107397
2004-01-05T00:00:00+00:00,41.16,42.52,40.96,42.16,2496,0,209354
2004-01-06T00:00:00+00:00,42.68,44.0,42.2,43.2,3870,0,289630
2004-01-07T00:00:00+00:00,42.84,44.88,42.44,44.0,3810,0,325262
2004-01-08T00:00:00+00:00,44.2,45.6,43.64,45.32,2994,0,283115
2004-01-09T00:00:00+00:00,44.48,46.64,43.48,45.76,3511,0,322632
2004-01-12T00:00:00+00:00,45.28,47.4,45.2,47.4,3465,0,239569
2004-01-13T00:00:00+00:00,46.44,47.12,43.2,45.68,3684,0,333479
2004-01-14T00:00:00+00:00,45.4,45.96,44.0,45.4,3163,0,199734
2004-01-15T00:00:00+00:00,44.88,46.24,43.2,45.32,3715,0,283263
2004-01-16T00:00:00+00:00,49.0,53.04,48.8,50.24,10282,0,1125724
2004-01-20T00:00:00+00:00,52.0,52.96,49.04,52.88,4476,0,507806
2004-01-21T00:00:00+00:00,52.32,52.4,49.52,51.16,4137,0,459630
2004-01-22T00:00:00+00:00,51.08,52.0,48.64,48.72,3319,0,312104
2004-01-23T00:00:00+00:00,48.72,49.32,45.92,47.24,4066,0,336078
2004-01-26T00:00:00+00:00,47.24,47.84,46.0,47.0,4756,0,364800
2004-01-27T00:00:00+00:00,46.2,47.28,44.28,45.76,4168,0,385134
2004-01-28T00:00:00+00:00,46.04,47.0,43.0,43.76,5101,0,507410
2004-01-29T00:00:00+00:00,46.4,47.32,45.12,46.56,7718,0,1328932
2004-01-30T00:00:00+00:00,47.0,51.44,46.64,50.72,6478,0,761406
2004-02-02T00:00:00+00:00,50.8,52.2,48.56,49.08,4823,0,458438
2004-02-03T00:00:00+00:00,48.96,49.6,47.48,48.0,3511,0,280577
2004-02-04T00:00:00+00:00,47.76,48.12,46.0,46.52,3527,0,416189
2004-02-05T00:00:00+00:00,46.76,48.6,46.68,47.36,3200,0,328809
2004-02-06T00:00:00+00:00,47.08,50.68,47.08,50.28,3631,0,274879
2004-02-09T00:00:00+00:00,50.08,51.0,49.0,49.72,2995,0,248457
2004-02-10T00:00:00+00:00,50.08,50.48,48.24,49.92,3084,0,188586
2004-02-11T00:00:00+00:00,49.4,51.0,48.92,48.92,2853,0,303173
2004-02-12T00:00:00+00:00,48.92,50.0,48.0,48.0,2818,0,284186
2004-02-13T00:00:00+00:00,48.6,49.08,46.64,47.0,2863,0,311667
2004-02-17T00:00:00+00:00,48.2,48.56,47.24,48.48,2819,0,301969
2004-02-18T00:00:00+00:00,49.24,49.84,48.6,49.0,3065,0,395924
2004-02-19T00:00:00+00:00,50.8,50.84,47.64,48.0,4017,0,393120
2004-02-20T00:00:00+00:00,48.08,48.2,46.16,47.0,3683,0,238079
2004-02-23T00:00:00+00:00,47.56,47.8,44.44,44.8,4572,0,451661
2004-02-24T00:00:00+00:00,44.52,45.28,43.64,44.56,4564,0,512425
2004-02-25T00:00:00+00:00,44.6,45.8,44.4,45.68,2169,0,123967
2004-02-26T00:00:00+00:00,45.08,46.72,44.76,46.72,2823,0,217468
2004-02-27T00:00:00+00:00,46.76,46.96,44.8,45.2,3456,0,338553
2004-03-01T00:00:00+00:00,45.52,46.8,44.72,46.36,3233,0,218127
2004-03-02T00:00:00+00:00,46.6,46.84,45.32,45.72,3490,0,283955
2004-03-03T00:00:00+00:00,45.64,45.92,44.08,44.2,3262,0,238631
2004-03-04T00:00:00+00:00,44.08,45.16,44.0,44.92,2431,0,166383
2004-03-05T00:00:00+00:00,43.96,45.12,43.24,44.04,2866,0,197189
2004-03-08T00:00:00+00:00,44.4,44.96,41.0,41.32,4045,0,294139
2004-03-09T00:00:00+00:00,40.88,41.64,39.72,40.4,3631,0,259555
2004-03-10T00:00:00+00:00,40.2,40.72,38.52,38.64,4499,0,392633
2004-03-11T00:00:00+00:00,38.96,40.56,38.24,39.56,4290,0,480108
2004-03-12T00:00:00+00:00,40.2,41.92,40.04,41.56,3219,0,314664
2004-03-15T00:00:00+00:00,41.32,41.36,39.4,39.52,2638,0,204932
2004-03-16T00:00:00+00:00,40.2,41.16,38.84,40.08,2943,0,242961
2004-03-17T00:00:00+00:00,40.6,42.12,40.08,41.76,2932,0,269902
2004-03-18T00:00:00+00:00,41.88,43.0,41.32,41.6,4502,0,437442
2004-03-19T00:00:00+00:00,42.32,42.4,39.96,39.96,2176,0,139471
2004-03-22T00:00:00+00:00,39.92,39.92,37.8,38.0,3919,0,270034
2004-03-23T00:00:00+00:00,38.72,39.72,37.8,39.16,3290,0,251910
2004-03-24T00:00:00+00:00,39.4,40.64,38.88,39.68,3294,0,230706
2004-03-25T00:00:00+00:00,39.88,42.32,39.88,42.24,3115,0,229047
2004-03-26T00:00:00+00:00,42.0,43.28,41.72,43.16,3258,0,382701
2004-03-29T00:00:00+00:00,43.2,44.56,43.2,44.08,2163,0,316215
2004-03-30T00:00:00+00:00,44.08,44.36,43.48,44.24,1542,0,115576
2004-03-31T00:00:00+00:00,44.36,44.4,43.36,44.28,2155,0,149661
2004-04-01T00:00:00+00:00,44.36,44.88,44.0,44.2,1861,0,134032
2004-04-02T00:00:00+00:00,44.8,46.72,44.8,45.88,2480,0,202350
2004-04-05T00:00:00+00:00,46.4,47.56,45.88,47.36,2583,0,364651
2004-04-06T00:00:00+00:00,46.4,46.52,45.56,45.72,2917,0,304839
2004-04-07T00:00:00+00:00,45.64,46.72,44.88,46.28,2395,0,198017
2004-04-08T00:00:00+00:00,47.52,47.92,45.64,45.64,2379,0,309476
2004-04-12T00:00:00+00:00,45.92,47.32,45.6,47.2,2067,0,155077
2004-04-13T00:00:00+00:00,47.52,48.36,45.92,46.0,3145,0,306077
2004-04-14T00:00:00+00:00,45.76,46.96,45.16,45.68,3145,0,303069
2004-04-15T00:00:00+00:00,45.52,46.4,42.92,43.16,3531,0,405529
2004-04-16T00:00:00+00:00,43.0,43.56,41.52,41.84,3375,0,214241
2004-04-19T00:00:00+00:00,41.84,43.44,41.6,42.64,2447,0,213010
2004-04-20T00:00:00+00:00,43.08,44.12,41.68,41.88,3339,0,299736
2004-04-21T00:00:00+00:00,42.48,43.56,41.72,42.8,2627,0,157708
2004-04-22T00:00:00+00:00,42.16,43.04,41.28,42.32,3540,0,324440
2004-04-23T00:00:00+00:00,42.68,43.72,41.84,42.92,3653,0,196363
2004-04-26T00:00:00+00:00,42.6,43.2,40.96,40.96,2712,0,192581
2004-04-27T00:00:00+00:00,41.4,41.72,39.52,39.88,3687,0,270001
2004-04-28T00:00:00+00:00,42.44,44.32,39.48,43.36,9974,0,1311181
2004-04-29T00:00:00+00:00,43.16,46.0,41.56,43.0,7242,0,617058
2004-04-30T00:00:00+00:00,43.56,44.68,41.04,41.84,4672,0,389075
2004-05-03T00:00:00+00:00,42.2,44.2,41.2,42.08,3950,0,281542
2004-05-04T00:00:00+00:00,41.84,45.92,41.76,45.16,5438,0,458396
2004-05-05T00:00:00+00:00,45.32,45.84,44.4,45.28,3835,0,288999
2004-05-06T00:00:00+00:00,44.56,46.2,44.16,45.04,3410,0,220264
2004-05-07T00:00:00+00:00,44.8,46.84,44.2,44.36,3812,0,279196
2004-05-10T00:00:00+00:00,44.0,44.24,42.68,43.2,3644,0,297334
2004-05-11T00:00:00+00:00,44.0,45.92,43.72,45.92,3749,0,301017
2004-05-12T00:00:00+00:00,45.2,45.28,42.28,44.0,4699,0,353495
2004-05-13T00:00:00+00:00,44.0,44.48,42.84,43.68,3140,0,272878
2004-05-14T00:00:00+00:00,44.2,44.44,42.16,42.24,3337,0,267050
2004-05-17T00:00:00+00:00,41.2,42.92,40.84,41.64,2852,0,191277
2004-05-18T00:00:00+00:00,42.04,44.0,42.04,43.72,3405,0,308378
2004-05-19T00:00:00+00:00,44.2,46.0,43.8,44.28,3358,0,316732
2004-05-20T00:00:00+00:00,44.84,45.44,43.6,44.24,2579,0,171427
2004-05-21T00:00:00+00:00,44.36,45.0,43.0,44.12,2396,0,252196
2004-05-24T00:00:00+00:00,45.16,46.28,44.6,45.32,3223,0,272848
2004-05-25T00:00:00+00:00,45.28,48.44,44.84,48.08,4473,0,344037
2004-05-26T00:00:00+00:00,48.16,49.32,47.12,49.24,4103,0,430869
2004-05-27T00:00:00+00:00,48.96,50.76,47.76,48.72,4856,0,404801
2004-05-28T00:00:00+00:00,48.32,48.72,47.52,48.52,2697,0,295549
