time,open,high,low,close,tick_volume,spread,real_volume
2007-05-10T00:00:00+00:00,21.1,21.99,20.6,21.1,16550,0,15424400
2007-05-11T00:00:00+00:00,21.13,22.4,21.13,21.88,5343,0,3298100
2007-05-14T00:00:00+00:00,22.0,22.65,21.85,22.3,4214,0,1467600
2007-05-15T00:00:00+00:00,21.85,22.41,20.73,21.0,3796,0,1783900
2007-05-16T00:00:00+00:00,22.49,23.4,22.4,22.98,10855,0,4573100
2007-05-17T00:00:00+00:00,23.34,24.05,22.94,23.0,6465,0,2298400
2007-05-18T00:00:00+00:00,23.25,23.45,22.35,22.99,3562,0,1219800
2007-05-21T00:00:00+00:00,23.0,23.84,22.7,23.62,2297,0,960000
2007-05-22T00:00:00+00:00,23.65,24.4,23.26,23.91,3260,0,1334300
2007-05-23T00:00:00+00:00,24.26,24.6,23.8,23.9,2731,0,775600
2007-05-24T00:00:00+00:00,23.97,24.0,22.5,23.07,3454,0,1007600
2007-05-25T00:00:00+00:00,22.95,23.99,22.95,23.51,1048,0,354500
2007-05-29T00:00:00+00:00,24.04,24.09,23.08,23.24,2302,0,803900
2007-05-30T00:00:00+00:00,22.76,23.1,22.71,22.88,1214,0,361200
2007-05-31T00:00:00+00:00,23.0,23.05,22.04,22.7,2757,0,859900
2007-06-01T00:00:00+00:00,22.6,23.25,22.5,23.0,1894,0,529300
2007-06-04T00:00:00+00:00,22.79,23.74,22.72,23.32,2399,0,704000
2007-06-05T00:00:00+00:00,22.85,23.58,22.8,23.5,1524,0,459900
2007-06-06T00:00:00+00:00,23.1,23.39,22.8,23.1,1399,0,438500
2007-06-07T00:00:00+00:00,23.04,23.3,22.53,22.71,1434,0,356900
2007-06-08T00:00:00+00:00,22.4,22.48,22.07,22.42,1809,0,704800
2007-06-11T00:00:00+00:00,22.5,22.75,21.51,22.72,1768,0,455000
2007-06-12T00:00:00+00:00,22.2,22.8,22.2,22.62,1196,0,313200
2007-06-13T00:00:00+00:00,22.65,23.42,22.65,23.25,1828,0,548200
2007-06-14T00:00:00+00:00,23.74,24.25,23.42,23.73,4216,0,1168100
2007-06-15T00:00:00+00:00,23.86,24.82,23.6,24.75,3617,0,1938500
2007-06-18T00:00:00+00:00,24.98,26.0,24.94,25.91,3845,0,1329500
2007-06-19T00:00:00+00:00,26.4,26.45,25.1,25.25,4796,0,1828900
2007-06-20T00:00:00+00:00,25.53,26.2,25.11,25.25,2862,0,1298300
2007-06-21T00:00:00+00:00,25.25,25.27,24.62,24.92,1838,0,666700
2007-06-22T00:00:00+00:00,24.55,24.71,24.18,24.21,1783,0,543400
2007-06-25T00:00:00+00:00,24.35,25.08,24.19,24.5,1811,0,481600
2007-06-26T00:00:00+00:00,24.69,24.94,23.62,23.92,2117,0,598700
2007-06-27T00:00:00+00:00,23.35,24.74,23.35,24.7,1782,0,429100
2007-06-28T00:00:00+00:00,24.66,24.92,24.33,24.51,1088,0,321700
2007-06-29T00:00:00+00:00,24.8,25.5,24.66,24.8,1589,0,459600
2007-07-02T00:00:00+00:00,24.88,25.48,24.76,25.33,862,0,182300
2007-07-03T00:00:00+00:00,25.55,26.1,25.27,25.69,962,0,339900
2007-07-05T00:00:00+00:00,25.85,26.45,25.51,26.36,1431,0,332000
2007-07-06T00:00:00+00:00,26.35,27.18,26.0,26.74,2174,0,514300
2007-07-09T00:00:00+00:00,27.2,27.34,26.63,26.68,2243,0,611500
2007-07-10T00:00:00+00:00,26.6,27.15,26.35,26.5,2429,0,487100
2007-07-11T00:00:00+00:00,26.6,27.33,26.43,26.72,1814,0,969900
2007-07-12T00:00:00+00:00,27.25,27.32,26.62,27.0,2051,0,421400
2007-07-13T00:00:00+00:00,26.89,28.38,26.76,28.21,2778,0,628800
2007-07-16T00:00:00+00:00,27.61,29.24,27.6,27.8,3046,0,763100
2007-07-17T00:00:00+00:00,27.98,28.29,27.69,27.73,1755,0,363200
2007-07-18T00:00:00+00:00,27.73,27.88,27.02,27.23,2033,0,371200
2007-07-19T00:00:00+00:00,27.35,28.28,27.35,27.75,2594,0,657200
2007-07-20T00:00:00+00:00,27.72,27.82,27.2,27.22,2428,0,476200
2007-07-23T00:00:00+00:00,27.4,27.84,27.08,27.42,2852,0,489400
2007-07-24T00:00:00+00:00,27.25,27.25,26.35,26.5,2998,0,736500
2007-07-25T00:00:00+00:00,26.26,27.0,24.3,25.68,3949,0,891300
2007-07-26T00:00:00+00:00,25.06,25.36,24.31,25.17,3644,0,630500
2007-07-27T00:00:00+00:00,24.77,25.87,24.53,25.25,2449,0,458400
2007-07-30T00:00:00+00:00,26.0,26.48,25.46,26.02,3034,0,604600
2007-07-31T00:00:00+00:00,26.69,27.0,25.85,25.91,2802,0,525400
2007-08-01T00:00:00+00:00,25.85,26.09,24.33,25.44,3979,0,740900
2007-08-02T00:00:00+00:00,26.0,26.5,24.75,26.47,4747,0,1246300
2007-08-03T00:00:00+00:00,26.07,27.81,26.07,26.99,5221,0,1309200
2007-08-06T00:00:00+00:00,27.4,27.44,25.56,26.45,5039,0,985100
2007-08-07T00:00:00+00:00,26.26,27.13,26.2,26.93,2744,0,503500
2007-08-08T00:00:00+00:00,27.25,28.28,26.18,26.99,9149,0,1822800
2007-08-09T00:00:00+00:00,26.71,27.25,25.75,26.1,3244,0,606300
2007-08-10T00:00:00+00:00,25.32,25.39,23.83,25.08,4827,0,1075200
2007-08-13T00:00:00+00:00,25.1,25.9,25.05,25.19,1527,0,319700
2007-08-14T00:00:00+00:00,25.15,25.73,24.55,24.77,2408,0,479300
2007-08-15T00:00:00+00:00,24.75,25.2,24.26,24.76,3079,0,627100
2007-08-16T00:00:00+00:00,24.24,24.78,23.0,24.5,5881,0,1339700
2007-08-17T00:00:00+00:00,25.61,25.75,23.77,24.4,2468,0,716000
2007-08-20T00:00:00+00:00,24.5,25.15,24.36,24.99,2041,0,399000
2007-08-21T00:00:00+00:00,24.6,26.3,24.6,26.11,1876,0,489700
2007-08-22T00:00:00+00:00,26.78,27.18,26.42,27.04,2274,0,739000
2007-08-23T00:00:00+00:00,27.0,27.77,26.51,27.3,1929,0,404300
2007-08-24T00:00:00+00:00,27.3,27.75,27.0,27.33,1777,0,432400
2007-08-27T00:00:00+00:00,27.25,27.61,26.9,27.12,1152,0,218800
2007-08-28T00:00:00+00:00,26.96,27.24,26.07,26.11,844,0,183300
2007-08-29T00:00:00+00:00,26.39,26.63,26.01,26.52,1350,0,257600
2007-08-30T00:00:00+00:00,26.2,26.99,26.15,26.68,1644,0,334000
2007-08-31T00:00:00+00:00,27.15,27.5,26.75,26.88,1786,0,552800
2007-09-04T00:00:00+00:00,27.1,27.5,26.93,26.96,1366,0,317300
2007-09-05T00:00:00+00:00,26.5,27.0,26.3,26.99,1118,0,312900
2007-09-06T00:00:00+00:00,27.0,27.2,26.68,27.0,1011,0,211200
2007-09-07T00:00:00+00:00,26.35,26.84,25.75,26.75,2157,0,431200
2007-09-10T00:00:00+00:00,26.75,26.98,25.82,26.79,1708,0,308000
2007-09-11T00:00:00+00:00,27.07,27.4,26.97,27.35,1743,0,342700
2007-09-12T00:00:00+00:00,27.5,28.17,27.25,27.74,2364,0,648500
2007-09-13T00:00:00+00:00,27.88,28.11,27.55,27.9,1453,0,437600
2007-09-14T00:00:00+00:00,27.67,27.99,27.51,27.89,1126,0,267700
2007-09-17T00:00:00+00:00,27.51,29.47,27.51,29.08,3423,0,911200
2007-09-18T00:00:00+00:00,29.08,30.22,29.0,30.22,3056,0,900400
2007-09-19T00:00:00+00:00,30.64,31.4,30.25,30.89,3610,0,732000
2007-09-20T00:00:00+00:00,30.7,30.7,29.8,29.94,2200,0,465100
2007-09-21T00:00:00+00:00,29.93,31.4,29.8,30.38,2447,0,651000
2007-09-24T00:00:00+00:00,30.36,30.57,30.01,30.11,1127,0,213500
2007-09-25T00:00:00+00:00,30.0,31.05,29.85,31.0,1366,0,364800
2007-09-26T00:00:00+00:00,31.15,33.45,31.15,33.0,5856,0,2608500
2007-09-27T00:00:00+00:00,33.11,36.14,33.11,35.45,8111,0,2349600
2007-09-28T00:00:00+00:00,35.76,35.76,34.33,34.91,4006,0,877900
2007-10-01T00:00:00+00:00,34.86,36.69,34.84,35.95,3620,0,675000
2007-10-02T00:00:00+00:00,35.47,37.73,35.47,37.26,2679,0,934400
2007-10-03T00:00:00+00:00,36.6,37.25,35.49,35.72,3414,0,889900
2007-10-04T00:00:00+00:00,35.69,36.15,33.4,34.0,4821,0,1341100
2007-10-05T00:00:00+00:00,34.65,35.33,33.31,34.83,3976,0,702600
2007-10-08T00:00:00+00:00,34.71,35.7,33.9,34.31,2467,0,424000
2007-10-09T00:00:00+00:00,35.0,35.58,33.98,35.42,1847,0,400100
2007-10-10T00:00:00+00:00,35.35,37.39,35.0,36.52,2342,0,560700
2007-10-11T00:00:00+00:00,36.69,38.25,35.8,36.03,3436,0,814000
2007-10-12T00:00:00+00:00,35.51,37.14,35.51,36.25,1322,0,250900
2007-10-15T00:00:00+00:00,36.26,37.0,35.66,36.58,1785,0,321500
2007-10-16T00:00:00+00:00,36.53,36.62,35.09,35.64,1900,0,439300
2007-10-17T00:00:00+00:00,36.35,36.72,35.9,36.71,1806,0,333900
2007-10-18T00:00:00+00:00,35.27,36.0,34.51,35.09,4023,0,818300
2007-10-19T00:00:00+00:00,34.97,35.0,33.52,33.58,3924,0,808300
2007-10-22T00:00:00+00:00,33.0,33.13,31.8,32.43,5245,0,1006900
2007-10-23T00:00:00+00:00,32.81,34.35,32.78,34.01,2646,0,530800
2007-10-24T00:00:00+00:00,34.07,34.07,32.83,33.15,2071,0,348400
2007-10-25T00:00:00+00:00,33.03,33.95,32.25,33.23,1697,0,332500
2007-10-26T00:00:00+00:00,33.41,34.59,33.4,33.85,2076,0,377300
2007-10-29T00:00:00+00:00,34.2,35.0,34.11,35.0,1461,0,301400
2007-10-30T00:00:00+00:00,35.1,35.6,34.61,34.84,1292,0,250200
2007-10-31T00:00:00+00:00,34.18,34.83,33.5,33.77,2254,0,416600
2007-11-01T00:00:00+00:00,32.84,33.29,31.84,32.2,1824,0,316800
2007-11-02T00:00:00+00:00,31.75,32.37,31.44,32.37,1785,0,294100
2007-11-05T00:00:00+00:00,31.37,32.66,30.81,32.08,2597,0,467100
2007-11-06T00:00:00+00:00,32.0,32.82,31.0,32.66,3020,0,788800
2007-11-07T00:00:00+00:00,31.81,32.51,31.71,32.25,1863,0,330700
2007-11-08T00:00:00+00:00,32.28,32.65,29.75,31.28,3345,0,720300
2007-11-09T00:00:00+00:00,30.64,30.87,29.24,30.1,2246,0,461700
2007-11-12T00:00:00+00:00,29.8,30.5,28.74,28.78,2563,0,504600
2007-11-13T00:00:00+00:00,29.25,29.67,28.6,29.3,3293,0,629600
2007-11-14T00:00:00+00:00,29.65,30.95,29.43,29.98,2338,0,416800
2007-11-15T00:00:00+00:00,30.0,30.0,29.25,29.6,1637,0,255600
2007-11-16T00:00:00+00:00,30.16,30.26,29.61,30.05,3445,0,691800
2007-11-19T00:00:00+00:00,29.81,30.08,29.0,29.59,2443,0,453400
2007-11-20T00:00:00+00:00,30.0,30.3,29.25,29.83,2309,0,414900
2007-11-21T00:00:00+00:00,29.71,30.43,29.55,29.99,1617,0,282200
2007-11-23T00:00:00+00:00,30.38,30.57,29.97,30.36,608,0,126400
2007-11-26T00:00:00+00:00,30.36,31.32,30.29,30.48,2214,0,407400
2007-11-27T00:00:00+00:00,30.65,30.65,26.06,27.2,8670,0,2337490
2007-11-28T00:00:00+00:00,27.07,27.98,25.55,27.58,5222,0,1176600
2007-11-29T00:00:00+00:00,27.64,27.64,26.65,26.75,2328,0,499100
2007-11-30T00:00:00+00:00,26.96,27.5,26.4,26.52,2810,0,632802
2007-12-03T00:00:00+00:00,26.46,26.62,25.58,26.52,2726,0,509600
2007-12-04T00:00:00+00:00,27.4,27.85,26.89,27.38,4410,0,885600
2007-12-05T00:00:00+00:00,28.0,28.74,28.0,28.38,1915,0,322800
2007-12-06T00:00:00+00:00,28.53,29.13,28.46,29.0,2239,0,719200
2007-12-07T00:00:00+00:00,29.2,29.4,28.71,29.06,2360,0,476641
2007-12-10T00:00:00+00:00,29.0,29.37,28.54,29.13,1861,0,306500
2007-12-11T00:00:00+00:00,29.09,29.5,27.84,28.03,2285,0,337845
2007-12-12T00:00:00+00:00,28.47,29.03,27.75,28.32,1725,0,310400
2007-12-13T00:00:00+00:00,27.98,28.62,27.62,28.44,1330,0,242400
2007-12-14T00:00:00+00:00,28.12,28.81,27.99,27.99,1631,0,300200
2007-12-17T00:00:00+00:00,27.91,27.91,27.0,27.13,2532,0,475000
2007-12-18T00:00:00+00:00,27.4,27.4,26.48,27.18,2813,0,666400
2007-12-19T00:00:00+00:00,27.11,27.78,27.01,27.51,1374,0,239300
2007-12-20T00:00:00+00:00,27.75,28.0,26.86,28.0,1643,0,317825
2007-12-21T00:00:00+00:00,28.5,28.63,27.67,28.14,2329,0,620920
2007-12-24T00:00:00+00:00,28.11,29.0,27.92,28.85,773,0,149794
2007-12-26T00:00:00+00:00,28.8,29.14,28.54,29.01,1336,0,278844
2007-12-27T00:00:00+00:00,28.96,29.6,28.12,28.36,2281,0,367828
2007-12-28T00:00:00+00:00,28.32,29.51,28.08,29.3,2159,0,351298
2007-12-31T00:00:00+00:00,29.5,29.5,28.16,28.62,2133,0,410763
2008-01-02T00:00:00+00:00,28.4,28.94,27.36,27.51,2687,0,504756
2008-01-03T00:00:00+00:00,27.64,28.15,26.88,26.95,3018,0,482558
2008-01-04T00:00:00+00:00,26.55,26.55,25.56,25.77,2448,0,504590
2008-01-07T00:00:00+00:00,25.74,25.75,24.11,24.95,6036,0,1227129
2008-01-08T00:00:00+00:00,25.01,25.61,24.84,25.0,5038,0,956001
2008-01-09T00:00:00+00:00,24.87,25.72,24.59,25.66,3106,0,549139
2008-01-10T00:00:00+00:00,25.18,26.0,25.03,25.79,2133,0,393950
2008-01-11T00:00:00+00:00,25.6,25.97,25.11,25.5,1571,0,271385
2008-01-14T00:00:00+00:00,25.75,25.82,24.75,25.22,2271,0,403400
2008-01-15T00:00:00+00:00,25.03,25.2,24.58,24.84,3252,0,704989
2008-01-16T00:00:00+00:00,24.95,25.05,23.72,24.65,3152,0,681189
2008-01-17T00:00:00+00:00,24.72,25.01,24.0,24.15,2931,0,675130
2008-01-18T00:00:00+00:00,24.14,24.71,23.86,24.21,2943,0,649815
2008-01-22T00:00:00+00:00,22.73,24.0,19.96,23.9,3697,0,742237
2008-01-23T00:00:00+00:00,23.2,24.59,22.6,24.52,4338,0,838946
2008-01-24T00:00:00+00:00,24.55,25.75,23.68,23.85,3630,0,711102
2008-01-25T00:00:00+00:00,24.03,24.21,22.48,23.0,3012,0,671524
2008-01-28T00:00:00+00:00,22.69,24.14,22.35,23.94,2172,0,315344
2008-01-29T00:00:00+00:00,23.95,24.86,23.06,24.51,3128,0,600026
2008-01-30T00:00:00+00:00,24.19,24.73,23.56,23.78,2013,0,390567
2008-01-31T00:00:00+00:00,23.28,24.92,23.14,24.53,2843,0,472966
2008-02-01T00:00:00+00:00,24.71,25.5,24.71,25.25,2992,0,515188
2008-02-04T00:00:00+00:00,25.19,26.01,24.83,25.93,2993,0,597183
2008-02-05T00:00:00+00:00,25.55,25.74,24.1,24.56,2640,0,452841
2008-02-06T00:00:00+00:00,24.71,25.7,24.71,24.83,2232,0,421997
2008-02-07T00:00:00+00:00,24.7,25.44,24.36,25.0,2192,0,364300
2008-02-08T00:00:00+00:00,25.0,26.24,25.0,25.45,2559,0,449614
2008-02-11T00:00:00+00:00,25.51,26.23,25.03,25.95,2384,0,438542
2008-02-12T00:00:00+00:00,26.5,27.67,26.26,26.78,5340,0,1014762
2008-02-13T00:00:00+00:00,27.26,28.67,26.97,28.21,4364,0,911794
2008-02-14T00:00:00+00:00,28.48,28.5,27.83,27.98,3194,0,578196
2008-02-15T00:00:00+00:00,27.5,28.63,27.5,28.43,3145,0,553962
2008-02-19T00:00:00+00:00,28.65,28.85,28.01,28.25,2326,0,438112
2008-02-20T00:00:00+00:00,28.1,28.5,27.8,28.37,2853,0,491098
2008-02-21T00:00:00+00:00,28.55,29.45,28.25,29.0,7165,0,1802891
2008-02-22T00:00:00+00:00,28.86,29.59,28.66,29.5,6408,0,1128078
2008-02-25T00:00:00+00:00,29.5,30.0,29.35,29.99,7403,0,1410735
2008-02-26T00:00:00+00:00,29.35,30.08,29.33,29.83,4540,0,994235
2008-02-27T00:00:00+00:00,29.05,29.54,26.05,26.99,11006,0,1995076
2008-02-28T00:00:00+00:00,27.07,27.15,26.15,27.0,4848,0,1034997
2008-02-29T00:00:00+00:00,26.92,27.0,25.72,25.96,3779,0,682301
2008-03-03T00:00:00+00:00,25.97,26.57,25.35,26.46,3427,0,591045
2008-03-04T00:00:00+00:00,26.28,26.75,26.1,26.45,3218,0,440946
2008-03-05T00:00:00+00:00,26.52,26.84,26.2,26.67,2837,0,429986
2008-03-06T00:00:00+00:00,26.6,26.96,25.59,25.65,4188,0,717219
2008-03-07T00:00:00+00:00,25.23,25.95,24.76,25.38,2793,0,429574
2008-03-10T00:00:00+00:00,24.9,25.04,24.06,24.23,2510,0,454541
2008-03-11T00:00:00+00:00,24.87,25.09,24.5,25.09,2766,0,456309
2008-03-12T00:00:00+00:00,24.77,25.39,24.76,24.83,2456,0,406100
2008-03-13T00:00:00+00:00,24.33,25.45,24.13,25.31,2451,0,335900
2008-03-14T00:00:00+00:00,24.72,24.99,23.94,24.26,3805,0,558386
2008-03-17T00:00:00+00:00,24.27,24.28,23.0,23.06,3948,0,595244
2008-03-18T00:00:00+00:00,23.89,24.67,23.5,24.58,4867,0,735635
2008-03-19T00:00:00+00:00,24.92,24.95,23.62,23.62,3417,0,603406
2008-03-20T00:00:00+00:00,23.81,24.4,23.74,23.8,2856,0,556693
2008-03-24T00:00:00+00:00,24.7,25.0,24.61,24.8,3855,0,624704
2008-03-25T00:00:00+00:00,24.68,25.0,24.57,24.95,3871,0,594400
2008-03-26T00:00:00+00:00,24.75,24.9,24.36,24.7,2306,0,361790
2008-03-27T00:00:00+00:00,25.91,26.24,25.6,25.85,6443,0,1100637
2008-03-28T00:00:00+00:00,26.32,26.52,25.77,25.95,4226,0,1047426
2008-03-31T00:00:00+00:00,25.79,26.4,25.68,26.01,2171,0,335192
2008-04-01T00:00:00+00:00,26.54,26.99,26.21,26.79,3705,0,660592
2008-04-02T00:00:00+00:00,26.96,27.74,26.7,27.48,6584,0,1039495
2008-04-03T00:00:00+00:00,27.25,28.09,27.05,27.75,3199,0,509499
2008-04-04T00:00:00+00:00,27.18,28.23,27.18,27.71,3156,0,550709
2008-04-07T00:00:00+00:00,27.57,27.88,26.79,26.85,2768,0,437819
2008-04-08T00:00:00+00:00,26.61,26.61,25.57,26.3,7237,0,1247895
2008-04-09T00:00:00+00:00,26.5,26.64,25.71,25.93,2997,0,543829
2008-04-10T00:00:00+00:00,26.2,26.67,25.85,26.62,3462,0,574225
2008-04-11T00:00:00+00:00,26.29,26.29,25.4,25.59,2736,0,417237
2008-04-14T00:00:00+00:00,25.44,25.89,24.59,25.32,3254,0,582971
2008-04-15T00:00:00+00:00,25.31,25.63,24.98,25.57,1842,0,288898
2008-04-16T00:00:00+00:00,25.99,26.82,25.89,26.72,2035,0,353613
2008-04-17T00:00:00+00:00,26.49,26.93,25.95,26.86,2207,0,437460
2008-04-18T00:00:00+00:00,27.26,28.0,27.06,27.47,3502,0,673288
2008-04-21T00:00:00+00:00,27.18,27.8,26.67,27.66,2678,0,435343
2008-04-22T00:00:00+00:00,27.0,27.1,26.5,26.99,2042,0,322534
2008-04-23T00:00:00+00:00,27.16,27.26,26.39,26.7,1737,0,274402
2008-04-24T00:00:00+00:00,26.94,27.53,26.31,27.33,1695,0,259040
2008-04-25T00:00:00+00:00,27.56,27.56,26.61,27.1,1361,0,214913
2008-04-28T00:00:00+00:00,27.14,27.3,26.37,26.91,1815,0,344097
2008-04-29T00:00:00+00:00,26.59,27.21,26.44,26.88,2270,0,383527
2008-04-30T00:00:00+00:00,26.99,27.99,26.9,27.35,2822,0,535731
2008-05-01T00:00:00+00:00,27.47,28.45,27.31,28.33,5235,0,925551
2008-05-02T00:00:00+00:00,28.61,29.25,28.42,28.86,3765,0,661770
2008-05-05T00:00:00+00:00,28.75,29.24,28.61,28.66,2156,0,353642
2008-05-06T00:00:00+00:00,28.63,29.06,28.52,28.78,2666,0,482343
2008-05-07T00:00:00+00:00,29.0,29.24,28.62,28.95,4506,0,712570
2008-05-08T00:00:00+00:00,29.6,29.99,29.17,29.69,10459,0,1961343
2008-05-09T00:00:00+00:00,29.47,29.99,29.47,29.6,3761,0,632422
2008-05-12T00:00:00+00:00,29.74,29.95,29.5,29.75,7030,0,1226515
2008-05-13T00:00:00+00:00,30.17,30.2,29.64,29.87,6689,0,1515594
2008-05-14T00:00:00+00:00,29.64,30.0,29.4,29.85,4916,0,1020293
2008-05-15T00:00:00+00:00,29.79,30.0,29.65,29.89,4086,0,705843
2008-05-16T00:00:00+00:00,29.99,30.29,29.7,30.16,7375,0,2221777
2008-05-19T00:00:00+00:00,30.59,31.65,30.34,31.26,12066,0,2439861
2008-05-20T00:00:00+00:00,31.0,32.01,30.93,31.99,13183,0,2370426
2008-05-21T00:00:00+00:00,31.9,32.13,31.0,31.22,8197,0,1353681
2008-05-22T00:00:00+00:00,31.14,31.46,30.88,30.98,7888,0,1133160
2008-05-23T00:00:00+00:00,30.94,30.98,29.58,30.43,5250,0,805164
2008-05-27T00:00:00+00:00,30.19,30.65,29.75,30.59,4754,0,699976
2008-05-28T00:00:00+00:00,30.62,30.99,30.33,30.91,3234,0,469693
2008-05-29T00:00:00+00:00,30.92,31.13,30.24,31.11,4395,0,729674
2008-05-30T00:00:00+00:00,30.92,32.55,30.81,32.22,9516,0,2065878
2008-06-02T00:00:00+00:00,32.3,32.3,31.35,31.69,4824,0,816794
2008-06-03T00:00:00+00:00,31.76,32.07,31.37,31.66,3898,0,656321
2008-06-04T00:00:00+00:00,31.57,31.69,30.9,31.57,4307,0,642955
2008-06-05T00:00:00+00:00,31.68,32.28,31.46,32.24,3848,0,641412
2008-06-06T00:00:00+00:00,31.95,32.14,31.25,31.7,3585,0,572758
2008-06-09T00:00:00+00:00,31.77,32.21,31.15,31.56,2653,0,448316
2008-06-10T00:00:00+00:00,31.24,31.45,30.77,31.22,3331,0,533306
2008-06-11T00:00:00+00:00,31.25,31.25,30.37,30.68,3412,0,547153
2008-06-12T00:00:00+00:00,30.96,31.62,30.81,31.38,4024,0,706666
2008-06-13T00:00:00+00:00,31.67,32.78,31.66,32.74,5677,0,971889
2008-06-16T00:00:00+00:00,32.8,34.2,32.4,33.96,6414,0,1270988
2008-06-17T00:00:00+00:00,34.05,34.5,33.61,34.16,8188,0,1351164
2008-06-18T00:00:00+00:00,33.96,33.96,32.21,32.52,5056,0,934138
2008-06-19T00:00:00+00:00,32.34,32.5,30.84,31.89,5815,0,1043695
2008-06-20T00:00:00+00:00,31.59,31.96,30.9,31.04,3598,0,723053
2008-06-23T00:00:00+00:00,31.11,31.38,30.52,31.01,2312,0,369851
2008-06-24T00:00:00+00:00,31.05,31.97,30.65,31.58,3835,0,623624
2008-06-25T00:00:00+00:00,31.54,32.07,31.04,31.94,3788,0,540197
2008-06-26T00:00:00+00:00,31.83,31.83,30.25,31.49,7163,0,1328730
2008-06-27T00:00:00+00:00,31.47,33.29,31.44,33.11,10522,0,2226386
2008-06-30T00:00:00+00:00,33.56,33.56,32.29,32.56,6163,0,954910
2008-07-01T00:00:00+00:00,32.1,33.32,31.77,33.19,5703,0,1004519
2008-07-02T00:00:00+00:00,33.05,33.4,31.94,32.05,7302,0,1155845
2008-07-03T00:00:00+00:00,32.11,32.25,30.89,31.09,4305,0,636138
2008-07-07T00:00:00+00:00,30.97,31.26,29.41,29.82,6963,0,1071015
2008-07-08T00:00:00+00:00,29.92,30.58,28.94,30.56,6143,0,958025
2008-07-09T00:00:00+00:00,30.52,32.41,30.2,30.2,5568,0,799882
2008-07-10T00:00:00+00:00,30.25,30.43,29.41,29.94,4728,0,865956
2008-07-11T00:00:00+00:00,29.25,30.42,28.96,29.78,5119,0,757284
2008-07-14T00:00:00+00:00,30.31,30.45,29.39,29.91,3480,0,478647
2008-07-15T00:00:00+00:00,29.49,29.97,28.9,29.49,3330,0,436864
2008-07-16T00:00:00+00:00,29.68,29.89,28.99,29.85,3235,0,489284
2008-07-17T00:00:00+00:00,30.11,30.39,29.08,29.28,2944,0,413200
2008-07-18T00:00:00+00:00,29.54,29.54,28.8,29.15,3496,0,788395
2008-07-21T00:00:00+00:00,29.01,29.68,28.67,29.51,2746,0,468119
2008-07-22T00:00:00+00:00,29.3,29.47,28.86,29.28,2598,0,406045
2008-07-23T00:00:00+00:00,28.94,29.65,28.94,29.32,3488,0,482283
2008-07-24T00:00:00+00:00,29.19,29.34,27.59,27.92,5309,0,1121622
2008-07-25T00:00:00+00:00,28.01,28.85,27.77,28.16,5098,0,1009508
2008-07-28T00:00:00+00:00,28.29,28.41,27.6,27.67,2062,0,287519
2008-07-29T00:00:00+00:00,27.74,28.28,27.43,27.89,3705,0,574048
2008-07-30T00:00:00+00:00,27.76,29.02,27.73,28.79,2797,0,512287
2008-07-31T00:00:00+00:00,28.08,28.99,28.08,28.5,2429,0,638479
2008-08-01T00:00:00+00:00,28.32,28.9,27.92,28.26,2877,0,607468
2008-08-04T00:00:00+00:00,28.13,28.39,27.15,27.5,4877,0,975525
2008-08-05T00:00:00+00:00,27.72,28.49,27.5,28.02,3027,0,567646
2008-08-06T00:00:00+00:00,28.06,29.34,28.05,28.89,2716,0,603546
2008-08-07T00:00:00+00:00,29.47,30.66,29.31,29.86,7135,0,1172089
2008-08-08T00:00:00+00:00,29.7,31.0,29.7,30.62,4015,0,658480
2008-08-11T00:00:00+00:00,30.57,30.91,30.03,30.52,4025,0,530082
2008-08-12T00:00:00+00:00,30.54,31.4,30.14,31.3,4081,0,652917
2008-08-13T00:00:00+00:00,31.3,32.01,30.89,31.8,3093,0,434027
2008-08-14T00:00:00+00:00,31.43,32.36,31.31,32.16,2636,0,550991
2008-08-15T00:00:00+00:00,32.3,32.4,31.64,31.89,3106,0,544176
2008-08-18T00:00:00+00:00,32.0,32.27,31.54,31.66,2014,0,366952
2008-08-19T00:00:00+00:00,31.5,31.78,31.02,31.43,2140,0,344966
2008-08-20T00:00:00+00:00,31.52,31.75,31.03,31.73,1978,0,334311
2008-08-21T00:00:00+00:00,31.57,31.98,31.04,31.68,2767,0,393823
2008-08-22T00:00:00+00:00,31.61,31.9,31.31,31.71,1907,0,333313
2008-08-25T00:00:00+00:00,31.45,31.6,30.12,30.5,4224,0,636684
2008-08-26T00:00:00+00:00,30.65,31.12,30.32,30.98,2916,0,417852
2008-08-27T00:00:00+00:00,30.99,31.6,30.69,31.23,2456,0,391918
2008-08-28T00:00:00+00:00,31.27,31.3,30.77,31.16,2705,0,418497
2008-08-29T00:00:00+00:00,31.28,32.17,31.17,31.95,3038,0,451867
2008-09-02T00:00:00+00:00,31.79,31.95,30.51,30.9,3299,0,517983
2008-09-03T00:00:00+00:00,30.66,31.23,29.17,29.57,3831,0,841362
2008-09-04T00:00:00+00:00,29.58,29.58,27.68,27.81,5396,0,800432
2008-09-05T00:00:00+00:00,27.72,28.29,27.32,28.01,5199,0,868311
2008-09-08T00:00:00+00:00,29.91,30.0,27.48,27.92,5872,0,1058803
2008-09-09T00:00:00+00:00,27.75,27.79,23.8,24.05,9964,0,1751544
2008-09-10T00:00:00+00:00,24.23,26.31,23.96,25.58,6976,0,1199489
