time,open,high,low,close,tick_volume,spread,real_volume
2010-12-21T00:00:00+00:00,14.65,14.77,14.5,14.77,15,0,4025
2010-12-22T00:00:00+00:00,14.75,15.0,14.6,15.0,6,0,2335
2010-12-23T00:00:00+00:00,15.0,15.0,14.9,14.9,6,0,2300
2010-12-27T00:00:00+00:00,15.0,15.05,14.99,15.05,13,0,6799
2010-12-28T00:00:00+00:00,15.0,15.95,15.0,15.45,10,0,2574
2010-12-29T00:00:00+00:00,15.25,15.69,15.25,15.69,4,0,1311
2010-12-30T00:00:00+00:00,15.43,15.5,15.25,15.35,14,0,2838
2010-12-31T00:00:00+00:00,15.25,15.71,15.25,15.69,4,0,2834
2011-01-03T00:00:00+00:00,15.5,15.5,15.2,15.25,10,0,8428
2011-01-04T00:00:00+00:00,15.1,15.46,15.1,15.46,4,0,869
2011-01-06T00:00:00+00:00,15.27,15.28,15.27,15.27,3,0,428
2011-01-07T00:00:00+00:00,15.35,15.35,15.35,15.35,3,0,1100
2011-01-10T00:00:00+00:00,15.1,15.48,15.1,15.48,9,0,1128
2011-01-11T00:00:00+00:00,15.48,15.49,15.48,15.49,4,0,739
2011-01-12T00:00:00+00:00,15.13,15.65,15.05,15.65,10,0,3430
2011-01-13T00:00:00+00:00,15.04,15.07,15.0,15.0,11,0,1173
2011-01-14T00:00:00+00:00,15.01,15.01,15.0,15.0,5,0,519
2011-01-18T00:00:00+00:00,15.42,15.75,15.42,15.75,31,0,5776
2011-01-19T00:00:00+00:00,15.1,15.75,15.1,15.75,23,0,3192
2011-01-20T00:00:00+00:00,15.75,15.75,15.75,15.75,7,0,1426
2011-01-21T00:00:00+00:00,15.75,16.5,15.34,15.34,39,0,13417
2011-01-24T00:00:00+00:00,15.38,15.38,15.1,15.1,13,0,2914
2011-01-26T00:00:00+00:00,15.72,15.72,15.3,15.3,2,0,300
2011-01-27T00:00:00+00:00,15.3,15.39,15.3,15.39,3,0,381
2011-01-28T00:00:00+00:00,15.76,15.76,15.32,15.32,2,0,493
2011-01-31T00:00:00+00:00,15.72,15.72,15.3,15.3,9,0,1586
2011-02-01T00:00:00+00:00,15.4,16.37,15.4,16.37,8,0,1364
2011-02-02T00:00:00+00:00,16.5,16.5,16.5,16.5,2,0,600
2011-02-03T00:00:00+00:00,16.49,16.5,15.5,15.5,3,0,852
2011-02-07T00:00:00+00:00,15.7,15.7,15.53,15.53,2,0,300
2011-02-08T00:00:00+00:00,16.46,16.46,15.53,15.7,6,0,900
2011-02-09T00:00:00+00:00,16.0,16.0,16.0,16.0,1,0,1500
2011-02-10T00:00:00+00:00,16.4,16.5,15.61,15.61,28,0,5961
2011-02-11T00:00:00+00:00,15.6,15.6,15.56,15.56,3,0,500
2011-02-14T00:00:00+00:00,15.63,16.05,15.63,16.05,3,0,520
2011-02-15T00:00:00+00:00,16.07,16.48,16.07,16.07,7,0,939
2011-02-16T00:00:00+00:00,15.79,16.0,15.79,15.81,7,0,910
2011-02-17T00:00:00+00:00,15.81,15.81,15.75,15.75,3,0,676
