time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,22.75,22.85,22.21,22.26,1380,0,1317800
2003-09-11T00:00:00+00:00,22.3,22.73,22.0,22.0,1383,0,2052400
2003-09-12T00:00:00+00:00,22.4,22.49,21.75,22.44,2007,0,4441300
2003-09-15T00:00:00+00:00,22.57,23.12,22.23,23.05,1647,0,2651600
2003-09-16T00:00:00+00:00,22.85,23.45,22.85,23.36,1052,0,2549600
2003-09-17T00:00:00+00:00,22.5,23.3,21.0,22.6,2410,0,6271800
2003-09-18T00:00:00+00:00,22.5,22.8,22.5,22.8,1439,0,2659800
2003-09-19T00:00:00+00:00,22.95,22.95,22.36,22.44,1610,0,2834900
2003-09-22T00:00:00+00:00,22.25,22.25,21.55,21.59,1989,0,2806300
2003-09-23T00:00:00+00:00,21.5,21.72,21.2,21.35,1971,0,4368100
2003-09-24T00:00:00+00:00,21.4,22.35,21.25,22.25,5434,0,24589400
2003-09-25T00:00:00+00:00,22.3,22.74,22.15,22.6,3183,0,6831900
2003-09-26T00:00:00+00:00,22.33,22.46,21.82,22.04,2182,0,3795800
2003-09-29T00:00:00+00:00,22.0,22.23,21.3,22.02,1844,0,4241900
2003-09-30T00:00:00+00:00,22.38,22.5,21.71,22.31,2217,0,2833600
2003-10-02T00:00:00+00:00,22.39,22.69,22.2,22.62,2000,0,2931200
2003-10-03T00:00:00+00:00,22.75,22.9,22.37,22.41,2367,0,3396400
2003-10-06T00:00:00+00:00,22.6,23.4,22.45,23.09,1866,0,2726200
2003-10-07T00:00:00+00:00,22.78,23.23,22.68,23.06,1870,0,2618100
2003-10-08T00:00:00+00:00,23.35,23.96,23.09,23.7,2532,0,3414800
2003-10-09T00:00:00+00:00,22.75,23.1,22.12,22.15,3566,0,10335300
2003-10-10T00:00:00+00:00,22.25,22.61,22.18,22.38,1650,0,4212400
2003-10-13T00:00:00+00:00,22.38,22.81,22.11,22.26,1455,0,1558700
2003-10-14T00:00:00+00:00,22.78,22.79,22.36,22.63,1699,0,2239100
2003-10-15T00:00:00+00:00,22.44,22.84,22.14,22.17,1594,0,2569300
2003-10-16T00:00:00+00:00,22.15,22.37,21.79,22.16,1834,0,2361200
2003-10-17T00:00:00+00:00,22.2,22.42,21.95,21.95,1281,0,2750400
2003-10-20T00:00:00+00:00,21.9,22.2,21.8,21.96,1688,0,2566000
2003-10-21T00:00:00+00:00,22.6,22.65,22.27,22.44,1526,0,2402200
2003-10-22T00:00:00+00:00,22.41,22.9,22.22,22.86,1850,0,3338400
2003-10-23T00:00:00+00:00,22.85,23.8,22.58,22.72,1596,0,2534500
2003-10-24T00:00:00+00:00,22.68,22.77,21.96,22.36,1813,0,2446000
2003-10-27T00:00:00+00:00,22.36,22.58,22.19,22.38,1419,0,1553900
2003-10-28T00:00:00+00:00,22.87,23.42,22.8,23.28,2347,0,3990200
2003-10-29T00:00:00+00:00,23.27,23.85,23.11,23.62,1412,0,1961100
2003-10-30T00:00:00+00:00,23.67,24.0,23.62,23.68,1722,0,2051400
2003-10-31T00:00:00+00:00,23.73,23.88,23.3,23.4,1545,0,2082400
2003-11-03T00:00:00+00:00,23.57,24.13,23.57,24.1,1846,0,2468990
2003-11-04T00:00:00+00:00,24.0,24.48,23.9,24.33,2035,0,2923213
2003-11-05T00:00:00+00:00,23.85,24.54,23.5,24.29,2289,0,2559900
2003-11-06T00:00:00+00:00,24.25,24.55,24.16,24.4,1539,0,1514800
2003-11-07T00:00:00+00:00,24.5,25.2,24.46,25.01,1959,0,2622900
2003-11-10T00:00:00+00:00,24.65,24.85,24.34,24.57,1790,0,2124100
2003-11-11T00:00:00+00:00,24.64,24.69,23.86,24.52,1497,0,1964700
2003-11-12T00:00:00+00:00,24.55,25.28,24.45,25.28,1816,0,1771500
2003-11-13T00:00:00+00:00,25.03,25.37,24.63,24.7,1877,0,2681300
2003-11-14T00:00:00+00:00,24.92,25.09,24.26,24.39,1400,0,1676300
2003-11-17T00:00:00+00:00,24.25,24.33,23.86,24.31,1290,0,1721700
2003-11-18T00:00:00+00:00,24.4,24.5,24.05,24.15,1212,0,866900
2003-11-19T00:00:00+00:00,23.8,24.13,23.79,24.09,1003,0,1200600
2003-11-20T00:00:00+00:00,24.05,24.48,23.91,24.24,1277,0,1106700
2003-11-21T00:00:00+00:00,24.23,24.35,23.94,24.16,953,0,871200
2003-11-24T00:00:00+00:00,24.0,24.95,24.0,24.86,1571,0,1577300
2003-11-25T00:00:00+00:00,24.7,24.86,24.46,24.5,1243,0,1462500
2003-11-26T00:00:00+00:00,24.21,25.0,24.01,24.72,1453,0,1498000
2003-11-28T00:00:00+00:00,24.83,24.99,24.61,24.85,604,0,567700
2003-12-01T00:00:00+00:00,24.98,25.69,24.91,25.42,1756,0,2522400
2003-12-02T00:00:00+00:00,25.13,26.0,24.69,25.66,2062,0,2181500
2003-12-03T00:00:00+00:00,25.95,26.31,25.66,26.0,1937,0,3097700
2003-12-04T00:00:00+00:00,25.3,25.8,25.3,25.53,1593,0,2161700
2003-12-05T00:00:00+00:00,25.35,25.4,25.11,25.16,1259,0,2828000
2003-12-08T00:00:00+00:00,25.02,25.35,24.87,25.01,1081,0,1941800
2003-12-09T00:00:00+00:00,25.05,25.54,25.02,25.21,1376,0,1104300
2003-12-10T00:00:00+00:00,25.15,25.19,24.69,25.06,1263,0,1669400
2003-12-11T00:00:00+00:00,24.85,25.25,24.05,25.0,1489,0,1641600
2003-12-12T00:00:00+00:00,24.8,25.09,24.8,25.01,1248,0,906300
2003-12-15T00:00:00+00:00,25.3,25.3,24.88,24.92,1449,0,1274400
2003-12-16T00:00:00+00:00,24.9,24.9,24.09,24.56,1379,0,1926800
2003-12-17T00:00:00+00:00,24.4,24.53,24.14,24.46,1519,0,2101700
2003-12-18T00:00:00+00:00,24.55,25.03,24.49,24.94,1572,0,2067200
2003-12-19T00:00:00+00:00,25.0,25.54,24.92,25.45,1455,0,2999700
2003-12-22T00:00:00+00:00,25.35,25.54,25.17,25.43,1299,0,2084300
2003-12-23T00:00:00+00:00,25.65,26.13,25.48,26.02,1520,0,2070300
2003-12-24T00:00:00+00:00,26.0,26.35,25.7,26.33,556,0,798800
2003-12-26T00:00:00+00:00,26.05,26.23,25.93,26.02,513,0,490100
2003-12-29T00:00:00+00:00,25.9,26.3,25.86,26.3,1179,0,1109000
2003-12-30T00:00:00+00:00,26.45,26.55,26.18,26.25,957,0,842000
2003-12-31T00:00:00+00:00,26.35,26.35,26.0,26.23,1062,0,1368200
2004-01-02T00:00:00+00:00,26.15,26.95,25.67,25.95,1614,0,1508800
2004-01-05T00:00:00+00:00,26.01,26.78,26.01,26.67,1855,0,1791700
2004-01-06T00:00:00+00:00,26.41,26.55,26.1,26.35,1661,0,2029600
2004-01-07T00:00:00+00:00,26.4,26.49,25.6,25.76,2011,0,2525700
2004-01-08T00:00:00+00:00,25.98,26.0,24.6,24.9,2694,0,5243100
2004-01-09T00:00:00+00:00,24.95,25.32,24.7,25.2,1763,0,3774000
2004-01-12T00:00:00+00:00,25.9,25.95,25.45,25.89,2192,0,5023600
2004-01-13T00:00:00+00:00,22.75,23.0,21.85,22.62,9304,0,24540700
2004-01-14T00:00:00+00:00,22.85,23.78,22.76,23.7,3809,0,7909100
2004-01-15T00:00:00+00:00,23.7,23.97,23.46,23.6,2237,0,6410400
2004-01-16T00:00:00+00:00,23.78,23.9,23.4,23.46,1592,0,4833000
2004-01-20T00:00:00+00:00,24.0,24.0,23.35,23.78,2149,0,3323100
2004-01-21T00:00:00+00:00,23.98,24.37,23.04,24.14,1666,0,2843400
2004-01-22T00:00:00+00:00,24.04,25.45,24.03,24.86,2195,0,4833200
2004-01-23T00:00:00+00:00,24.88,24.99,24.02,24.16,1790,0,2781700
2004-01-26T00:00:00+00:00,24.0,24.75,24.0,24.68,1814,0,2425100
2004-01-27T00:00:00+00:00,24.73,24.73,23.41,24.07,1890,0,3149600
2004-01-28T00:00:00+00:00,24.65,24.66,23.54,23.75,1784,0,2741400
2004-01-29T00:00:00+00:00,24.25,24.26,23.43,23.67,1556,0,3321800
2004-01-30T00:00:00+00:00,23.8,24.21,23.65,23.7,1609,0,1769200
2004-02-02T00:00:00+00:00,23.6,23.9,22.98,23.11,1975,0,4212400
2004-02-03T00:00:00+00:00,23.01,23.38,22.65,23.25,2123,0,2894800
2004-02-04T00:00:00+00:00,23.0,23.02,22.55,22.6,1976,0,3089000
2004-02-05T00:00:00+00:00,22.85,23.1,22.61,22.67,1499,0,2803500
2004-02-06T00:00:00+00:00,22.65,23.14,22.6,22.87,1528,0,3350500
2004-02-09T00:00:00+00:00,22.98,23.04,22.7,22.81,1469,0,2138800
2004-02-10T00:00:00+00:00,22.8,23.04,22.68,22.87,1576,0,1803700
2004-02-11T00:00:00+00:00,22.95,23.09,22.62,22.9,1564,0,3189800
2004-02-12T00:00:00+00:00,23.05,23.52,23.0,23.05,1610,0,2877700
2004-02-13T00:00:00+00:00,23.53,23.98,23.37,23.45,1737,0,2487800
2004-02-17T00:00:00+00:00,23.47,23.77,23.15,23.64,1305,0,1489300
2004-02-18T00:00:00+00:00,23.65,23.74,23.28,23.33,1431,0,1837200
2004-02-19T00:00:00+00:00,23.43,23.59,23.02,23.05,1515,0,2259800
2004-02-20T00:00:00+00:00,23.25,23.3,22.6,22.7,1805,0,2467400
2004-02-23T00:00:00+00:00,22.98,22.99,21.86,21.98,2045,0,3488400
2004-02-24T00:00:00+00:00,22.21,23.14,22.19,22.97,2578,0,5861600
2004-02-25T00:00:00+00:00,22.96,23.17,22.65,23.02,1772,0,1883300
2004-02-26T00:00:00+00:00,23.02,23.17,22.77,23.1,1834,0,1863900
2004-02-27T00:00:00+00:00,23.05,23.23,22.92,23.09,1729,0,2148500
2004-03-01T00:00:00+00:00,23.01,23.1,22.82,23.04,1786,0,2341900
2004-03-02T00:00:00+00:00,23.11,23.4,23.01,23.2,1798,0,1476000
2004-03-03T00:00:00+00:00,23.08,23.1,22.61,22.95,1630,0,2173200
2004-03-04T00:00:00+00:00,23.08,23.5,23.03,23.4,1377,0,2041400
2004-03-05T00:00:00+00:00,23.14,23.83,23.06,23.7,1902,0,3135700
2004-03-08T00:00:00+00:00,23.85,24.04,23.52,23.52,1933,0,2071500
2004-03-09T00:00:00+00:00,23.47,23.59,23.3,23.41,1634,0,1449700
2004-03-10T00:00:00+00:00,23.4,23.82,23.09,23.24,1760,0,1742000
2004-03-11T00:00:00+00:00,22.75,23.34,22.62,22.69,1800,0,2461500
2004-03-12T00:00:00+00:00,22.85,23.04,22.65,22.78,1463,0,1557700
2004-03-15T00:00:00+00:00,23.2,23.22,22.83,22.97,1738,0,1741300
2004-03-16T00:00:00+00:00,23.0,23.61,23.0,23.55,2078,0,2493800
2004-03-17T00:00:00+00:00,23.7,24.04,23.6,23.69,1587,0,2492700
2004-03-18T00:00:00+00:00,23.66,23.95,23.66,23.92,1560,0,1392900
2004-03-19T00:00:00+00:00,24.0,24.35,23.81,24.1,1234,0,1972000
2004-03-22T00:00:00+00:00,23.75,24.08,23.34,23.5,1427,0,1413200
2004-03-23T00:00:00+00:00,23.45,23.91,23.45,23.77,1590,0,1643900
2004-03-24T00:00:00+00:00,23.65,23.97,23.65,23.8,1388,0,1091500
2004-03-25T00:00:00+00:00,23.7,23.86,23.53,23.68,1656,0,2474700
2004-03-26T00:00:00+00:00,23.66,24.04,23.55,23.92,1292,0,1663400
2004-03-29T00:00:00+00:00,23.9,24.27,23.9,24.15,968,0,797800
2004-03-30T00:00:00+00:00,24.33,24.9,23.75,24.38,2536,0,4219600
2004-03-31T00:00:00+00:00,24.57,24.89,24.45,24.85,1626,0,1551000
2004-04-01T00:00:00+00:00,24.62,25.0,24.57,24.91,1278,0,1988300
2004-04-02T00:00:00+00:00,25.0,25.39,24.91,25.18,1259,0,2338000
2004-04-05T00:00:00+00:00,25.15,25.91,25.14,25.71,1785,0,2345100
2004-04-06T00:00:00+00:00,25.55,25.56,25.0,25.2,1523,0,1879300
2004-04-07T00:00:00+00:00,25.19,25.34,24.95,25.15,1308,0,1694600
2004-04-08T00:00:00+00:00,25.25,25.53,25.08,25.21,1329,0,1719000
2004-04-12T00:00:00+00:00,25.24,25.81,25.2,25.68,1157,0,1206700
2004-04-13T00:00:00+00:00,25.85,25.91,25.38,25.45,1677,0,1775000
2004-04-14T00:00:00+00:00,25.3,25.56,25.26,25.3,1073,0,1315900
2004-04-15T00:00:00+00:00,25.35,25.5,24.99,25.14,1286,0,1123200
2004-04-16T00:00:00+00:00,25.15,25.15,24.29,24.6,1913,0,2854100
2004-04-19T00:00:00+00:00,24.57,25.32,24.57,25.28,1494,0,2845400
2004-04-20T00:00:00+00:00,25.29,25.41,24.88,24.9,1115,0,1263200
2004-04-21T00:00:00+00:00,24.91,24.97,24.31,24.76,1453,0,1750000
2004-04-22T00:00:00+00:00,24.0,24.49,23.75,24.22,1960,0,4028200
2004-04-23T00:00:00+00:00,24.2,24.86,24.0,24.65,1597,0,4342100
2004-04-26T00:00:00+00:00,24.57,24.75,24.24,24.34,1543,0,2902500
2004-04-27T00:00:00+00:00,24.25,24.36,24.08,24.26,1282,0,1857000
2004-04-28T00:00:00+00:00,23.9,24.11,23.65,23.75,1607,0,3755200
2004-04-29T00:00:00+00:00,23.54,24.04,23.52,23.75,4493,0,16048100
2004-04-30T00:00:00+00:00,23.94,23.94,23.55,23.76,2292,0,3974300
2004-05-03T00:00:00+00:00,23.73,23.98,23.65,23.96,1916,0,2527500
2004-05-04T00:00:00+00:00,23.88,24.15,23.7,23.97,1822,0,2754200
2004-05-05T00:00:00+00:00,24.15,24.6,24.1,24.23,2150,0,3304500
2004-05-06T00:00:00+00:00,24.3,24.3,23.86,24.13,1910,0,2489700
