time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,21.2,21.2,21.14,21.14,3,1542,600
2025-05-22T00:00:00+00:00,20.61,21.1,20.61,21.05,13,45,2731
2025-05-23T00:00:00+00:00,20.73,20.83,20.73,20.83,2,31,300
2025-05-28T00:00:00+00:00,20.94,20.94,20.77,20.77,2,1529,800
2025-05-30T00:00:00+00:00,20.68,20.68,20.68,20.68,1,1526,100
2025-06-02T00:00:00+00:00,20.68,20.68,20.68,20.68,1,2399,100
2025-06-03T00:00:00+00:00,20.76,20.76,20.76,20.76,2,237,851
2025-06-04T00:00:00+00:00,20.78,20.78,20.78,20.78,1,885,100
2025-06-05T00:00:00+00:00,20.8,20.8,20.66,20.8,5,885,500
2025-06-06T00:00:00+00:00,20.8,20.8,20.8,20.8,2,885,200
2025-06-09T00:00:00+00:00,20.86,20.86,20.86,20.86,1,23,240
2025-06-10T00:00:00+00:00,20.77,20.77,20.77,20.77,1,672,2000
2025-06-11T00:00:00+00:00,21.0,21.0,21.0,21.0,1,1587,248
2025-06-12T00:00:00+00:00,20.87,20.94,20.87,20.91,8,17,3158
2025-06-13T00:00:00+00:00,20.77,20.99,20.77,20.8,5,11,2075
2025-06-16T00:00:00+00:00,20.81,20.82,20.58,20.79,6,1656,4187
2025-06-17T00:00:00+00:00,20.8,20.8,20.8,20.8,1,1496,100
2025-06-18T00:00:00+00:00,20.79,20.79,20.79,20.79,1,2475,100
2025-06-23T00:00:00+00:00,20.5,20.66,20.25,20.25,10,2390,2198
2025-06-24T00:00:00+00:00,20.23,20.68,20.23,20.68,9,26,2469
2025-06-25T00:00:00+00:00,20.41,20.51,20.41,20.51,2,1470,200
2025-06-26T00:00:00+00:00,20.55,20.55,20.46,20.46,3,1257,988
2025-06-27T00:00:00+00:00,20.48,20.64,20.45,20.64,3,713,1100
2025-06-30T00:00:00+00:00,20.57,20.57,20.45,20.47,14,1257,4974
2025-07-01T00:00:00+00:00,20.46,20.7,20.46,20.7,5,18,500
2025-07-02T00:00:00+00:00,20.86,20.86,20.86,20.86,1,713,100
2025-07-07T00:00:00+00:00,20.53,20.65,20.53,20.65,2,2466,200
2025-07-08T00:00:00+00:00,20.67,20.8,20.46,20.8,5,505,751
2025-07-09T00:00:00+00:00,20.82,20.82,20.82,20.82,1,128,217
2025-07-11T00:00:00+00:00,20.58,20.69,20.54,20.69,5,1,1558
2025-07-14T00:00:00+00:00,20.54,20.75,20.54,20.65,13,2461,3984
2025-07-15T00:00:00+00:00,20.55,20.63,20.51,20.53,11,2482,3687
2025-07-16T00:00:00+00:00,20.72,20.72,20.55,20.55,3,2480,300
2025-07-17T00:00:00+00:00,20.74,20.74,20.45,20.65,12,2480,2940
2025-07-18T00:00:00+00:00,20.64,20.79,20.55,20.55,3,2466,1241
2025-07-21T00:00:00+00:00,20.64,20.88,20.56,20.56,23,903,7439
2025-07-22T00:00:00+00:00,20.79,20.89,20.77,20.89,4,1552,791
2025-07-23T00:00:00+00:00,20.74,20.74,20.74,20.74,1,143,1159
2025-07-24T00:00:00+00:00,20.87,20.87,20.74,20.74,2,924,444
