time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,24.83,25.07,24.83,24.93,9,8,901
2025-05-22T00:00:00+00:00,24.83,24.9,24.79,24.9,9,1,1830
2025-05-23T00:00:00+00:00,24.86,24.99,24.83,24.9,21,1,3134
2025-05-27T00:00:00+00:00,24.98,25.0,24.91,25.0,10,3,1540
2025-05-28T00:00:00+00:00,24.96,25.14,24.95,25.05,18,3,4232
2025-05-29T00:00:00+00:00,25.13,25.13,25.06,25.08,6,651,797
2025-05-30T00:00:00+00:00,25.08,25.13,25.07,25.13,8,4,1242
2025-06-02T00:00:00+00:00,25.06,25.1,25.04,25.04,10,54,1684
2025-06-03T00:00:00+00:00,25.11,25.11,25.05,25.05,3,1083,900
2025-06-04T00:00:00+00:00,25.06,25.12,25.06,25.1,5,5,862
2025-06-05T00:00:00+00:00,25.08,25.1,25.04,25.05,9,3,1240
2025-06-06T00:00:00+00:00,25.1,25.12,25.08,25.09,5,628,1063
2025-06-09T00:00:00+00:00,25.07,25.11,25.06,25.06,8,1077,1240
2025-06-10T00:00:00+00:00,25.09,25.12,25.06,25.12,7,5,1280
2025-06-11T00:00:00+00:00,25.05,25.08,25.02,25.07,20,2,2695
2025-06-12T00:00:00+00:00,25.01,25.13,25.01,25.13,10,5,2906
2025-06-13T00:00:00+00:00,25.04,25.14,25.04,25.13,11,102,2432
2025-06-16T00:00:00+00:00,25.08,25.16,25.08,25.12,14,2912,2508
2025-06-17T00:00:00+00:00,25.14,25.41,25.12,25.36,25,2912,6345
2025-06-18T00:00:00+00:00,25.35,25.42,25.15,25.29,37,3,9450
2025-06-20T00:00:00+00:00,25.3,25.34,25.3,25.31,8,112,1463
2025-06-23T00:00:00+00:00,25.3,25.34,25.3,25.32,5,2974,3545
2025-06-24T00:00:00+00:00,25.37,25.37,25.12,25.32,27,4,5879
2025-06-25T00:00:00+00:00,25.36,25.36,25.2,25.32,6,477,1016
2025-06-26T00:00:00+00:00,25.37,25.37,25.28,25.32,9,6,1350
2025-06-27T00:00:00+00:00,25.34,25.35,25.34,25.35,5,59,1158
2025-06-30T00:00:00+00:00,25.35,25.39,24.79,24.81,39,2,8076
2025-07-01T00:00:00+00:00,24.52,24.6,24.38,24.49,49,3,10501
2025-07-02T00:00:00+00:00,24.54,24.66,24.42,24.51,32,532,6477
2025-07-03T00:00:00+00:00,24.64,24.73,24.59,24.59,19,10,3183
2025-07-07T00:00:00+00:00,24.91,24.91,24.6,24.74,34,1,4236
2025-07-08T00:00:00+00:00,24.77,24.84,24.66,24.84,11,3,2133
2025-07-09T00:00:00+00:00,24.8,24.86,24.76,24.81,20,797,3764
2025-07-10T00:00:00+00:00,24.89,24.89,24.79,24.79,11,4,2547
2025-07-11T00:00:00+00:00,24.74,24.79,24.63,24.73,25,4,6615
2025-07-14T00:00:00+00:00,24.74,24.75,24.73,24.73,8,2952,1829
2025-07-15T00:00:00+00:00,24.75,24.76,24.69,24.74,16,2966,3897
2025-07-16T00:00:00+00:00,24.82,24.84,24.71,24.76,19,2966,3011
2025-07-17T00:00:00+00:00,24.8,24.84,24.7,24.71,29,2970,4414
2025-07-18T00:00:00+00:00,24.84,24.84,24.75,24.83,17,2951,2350
