time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20T00:00:00+00:00,20.93,21.12,20.78,21.0,37,9,6699
2025-05-22T00:00:00+00:00,21.16,21.18,20.81,20.96,23,6,4585
2025-05-23T00:00:00+00:00,21.01,21.38,20.9,21.16,16,24,2750
2025-05-27T00:00:00+00:00,21.03,21.15,21.03,21.12,11,52,1907
2025-05-28T00:00:00+00:00,20.97,21.13,20.97,21.08,3,50,629
2025-05-29T00:00:00+00:00,20.99,21.14,20.97,21.14,6,12,649
2025-05-30T00:00:00+00:00,21.11,21.44,21.1,21.34,13,55,3264
2025-06-02T00:00:00+00:00,21.15,21.3,20.99,21.11,20,70,2400
2025-06-03T00:00:00+00:00,21.19,21.19,21.13,21.13,2,46,250
2025-06-04T00:00:00+00:00,21.17,21.17,21.13,21.13,3,51,442
2025-06-05T00:00:00+00:00,21.22,21.25,21.22,21.23,3,11,900
2025-06-09T00:00:00+00:00,21.28,21.35,21.17,21.17,29,868,5200
2025-06-10T00:00:00+00:00,21.29,21.49,21.18,21.36,28,8,5384
2025-06-11T00:00:00+00:00,21.27,21.55,21.27,21.55,23,7,5536
2025-06-12T00:00:00+00:00,21.55,22.23,21.52,22.21,59,7,9794
2025-06-13T00:00:00+00:00,22.11,22.25,22.1,22.24,6,7,600
2025-06-16T00:00:00+00:00,22.0,22.3,22.0,22.3,8,2558,1227
2025-06-17T00:00:00+00:00,22.3,22.4,22.17,22.4,20,2630,9909
2025-06-18T00:00:00+00:00,22.2,22.39,22.2,22.39,14,1,2319
2025-06-20T00:00:00+00:00,22.37,22.38,22.26,22.26,5,2,6892
2025-06-23T00:00:00+00:00,22.4,22.4,22.29,22.35,7,2512,3234
2025-06-24T00:00:00+00:00,22.44,22.46,22.41,22.44,22,5,5066
2025-06-25T00:00:00+00:00,22.28,22.4,22.1,22.4,33,4,3698
2025-06-26T00:00:00+00:00,22.44,22.44,22.4,22.44,6,6,1508
2025-06-27T00:00:00+00:00,22.43,22.49,22.3,22.42,9,683,2723
2025-06-30T00:00:00+00:00,22.49,22.49,22.06,22.16,32,2514,4434
2025-07-01T00:00:00+00:00,21.8,22.18,21.75,22.06,48,2419,12486
2025-07-02T00:00:00+00:00,22.1,22.15,22.08,22.15,19,2595,4843
2025-07-03T00:00:00+00:00,22.16,22.17,22.16,22.16,3,851,815
2025-07-07T00:00:00+00:00,22.17,22.19,22.14,22.17,23,2616,6480
2025-07-08T00:00:00+00:00,22.12,22.2,22.12,22.16,32,3,11093
2025-07-09T00:00:00+00:00,22.04,22.16,22.04,22.16,9,611,2809
