time,open,high,low,close,tick_volume,spread,real_volume
2022-11-15T00:00:00+00:00,13.35,16.95,12.71,16.13,1379,0,203590
2022-11-16T00:00:00+00:00,15.61,20.7,15.06,16.97,847,0,155181
2022-11-17T00:00:00+00:00,14.88,19.5,14.88,16.2,914,0,176524
2022-11-18T00:00:00+00:00,17.29,18.95,15.59,15.59,940,0,165391
2022-11-21T00:00:00+00:00,15.76,16.85,12.5,12.5,478,0,58387
2022-11-22T00:00:00+00:00,13.01,14.24,12.5,12.61,134,0,20799
2022-11-23T00:00:00+00:00,12.74,13.5,10.9,12.51,285,0,40337
2022-11-25T00:00:00+00:00,12.6,14.9,12.5,12.51,492,0,73655
2022-11-28T00:00:00+00:00,12.51,12.7,12.5,12.5,28,0,11695
2022-11-29T00:00:00+00:00,12.7,13.29,12.5,12.5,163,0,23653
2022-11-30T00:00:00+00:00,12.31,12.92,11.56,12.7,130,0,29504
2022-12-01T00:00:00+00:00,12.51,12.76,12.4,12.5,21,0,3706
2022-12-02T00:00:00+00:00,12.4,12.74,12.4,12.73,76,0,11132
2022-12-05T00:00:00+00:00,12.65,12.8,12.51,12.53,25,0,3780
2022-12-06T00:00:00+00:00,12.17,12.77,12.17,12.77,41,0,5664
2022-12-07T00:00:00+00:00,12.69,12.8,12.27,12.6,41,0,5288
2022-12-08T00:00:00+00:00,12.35,12.52,12.32,12.51,21,0,2301
2022-12-09T00:00:00+00:00,12.52,12.6,12.51,12.6,3,0,625
2022-12-12T00:00:00+00:00,12.6,12.65,12.4,12.5,126,0,14166
2022-12-13T00:00:00+00:00,12.68,12.73,12.41,12.5,21,0,2228
2022-12-14T00:00:00+00:00,12.75,12.75,12.42,12.5,23,0,2737
2022-12-15T00:00:00+00:00,12.6,12.6,11.5,11.52,18,0,3900
2022-12-16T00:00:00+00:00,11.58,12.49,11.52,12.39,22,0,3400
2022-12-19T00:00:00+00:00,12.16,12.44,11.52,11.93,60,0,7395
