time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,2.58,2.6,2.54,2.54,11,0,19800
2003-09-11T00:00:00+00:00,2.58,2.6,2.5300000000000002,2.5300000000000002,6,0,11300
2003-09-12T00:00:00+00:00,2.5,2.6,2.5,2.6,6,0,5500
2003-09-15T00:00:00+00:00,2.6,2.6,2.55,2.6,17,0,12000
2003-09-16T00:00:00+00:00,2.6,2.6,2.55,2.6,12,0,10300
2003-09-17T00:00:00+00:00,2.5,2.64,2.5,2.63,17,0,17600
2003-09-18T00:00:00+00:00,2.65,2.66,2.6,2.61,21,0,62100
2003-09-19T00:00:00+00:00,2.6,2.7,2.59,2.7,32,0,77300
2003-09-22T00:00:00+00:00,2.7,2.75,2.7,2.75,12,0,17700
2003-09-23T00:00:00+00:00,2.8,3.05,2.79,3.05,37,0,47500
2003-09-24T00:00:00+00:00,3.08,3.39,3.08,3.2,62,0,75200
2003-09-25T00:00:00+00:00,3.35,3.4,3.02,3.12,31,0,57200
2003-09-26T00:00:00+00:00,3.13,3.13,2.9699999999999998,2.99,33,0,49000
2003-09-29T00:00:00+00:00,2.95,3.08,2.95,2.9699999999999998,12,0,12900
2003-09-30T00:00:00+00:00,3.0,3.03,2.9699999999999998,3.01,4,0,1500
2003-10-01T00:00:00+00:00,3.03,3.2,2.99,3.19,17,0,14400
2003-10-02T00:00:00+00:00,3.15,3.25,3.14,3.14,25,0,50900
2003-10-03T00:00:00+00:00,3.1,3.1,2.96,3.01,27,0,21000
2003-10-06T00:00:00+00:00,3.0,3.0,3.0,3.0,3,0,6200
2003-10-07T00:00:00+00:00,3.0,3.06,2.9699999999999998,3.05,13,0,18400
2003-10-08T00:00:00+00:00,2.9699999999999998,3.07,2.9699999999999998,3.07,8,0,11300
2003-10-09T00:00:00+00:00,3.11,3.24,3.07,3.15,15,0,13900
2003-10-10T00:00:00+00:00,3.2,3.3,3.15,3.2,16,0,17200
2003-10-13T00:00:00+00:00,3.15,3.3,3.15,3.25,16,0,7700
2003-10-14T00:00:00+00:00,3.32,3.45,3.31,3.41,30,0,56200
2003-10-15T00:00:00+00:00,3.5,3.6,3.46,3.48,22,0,35100
2003-10-16T00:00:00+00:00,3.55,3.55,3.43,3.48,23,0,27100
2003-10-17T00:00:00+00:00,3.51,3.55,3.5,3.5,7,0,3300
2003-10-20T00:00:00+00:00,3.5,3.52,3.4,3.5,11,0,8400
2003-10-21T00:00:00+00:00,3.5,3.55,3.5,3.55,17,0,33900
2003-10-22T00:00:00+00:00,3.51,3.58,3.51,3.51,11,0,23300
2003-10-23T00:00:00+00:00,3.58,3.58,3.45,3.54,9,0,5200
2003-10-24T00:00:00+00:00,3.41,3.44,3.35,3.44,5,0,5900
2003-10-27T00:00:00+00:00,3.38,3.38,3.3,3.3,4,0,4800
2003-10-28T00:00:00+00:00,3.3,3.3,3.13,3.23,21,0,20900
2003-10-29T00:00:00+00:00,3.23,3.24,3.11,3.13,16,0,17800
2003-10-30T00:00:00+00:00,3.11,3.4,3.11,3.38,27,0,39300
2003-10-31T00:00:00+00:00,3.38,3.45,3.38,3.4,16,0,27800
2003-11-03T00:00:00+00:00,3.4,3.4,3.34,3.38,9,0,2900
2003-11-04T00:00:00+00:00,3.38,3.38,3.29,3.35,26,0,179500
