time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,3.25,3.25,3.1,3.2,262,0,153783
2003-09-11T00:00:00+00:00,3.08,3.55,3.08,3.41,201,0,158495
2003-09-12T00:00:00+00:00,3.33,3.55,3.27,3.4,139,0,87595
2003-09-15T00:00:00+00:00,3.5300000000000002,4.4,3.39,3.95,638,0,367542
2003-09-16T00:00:00+00:00,4.19,4.33,4.0,4.19,275,0,155745
2003-09-17T00:00:00+00:00,4.2,4.57,4.02,4.22,524,0,396540
2003-09-18T00:00:00+00:00,4.25,5.13,4.21,5.04,1516,0,1224290
2003-09-19T00:00:00+00:00,5.0,5.35,4.61,4.85,877,0,837912
2003-09-22T00:00:00+00:00,5.0,5.18,4.2,4.6,711,0,410896
2003-09-23T00:00:00+00:00,4.75,5.17,4.44,5.17,612,0,536696
2003-09-24T00:00:00+00:00,5.17,5.8,5.15,5.5,785,0,523415
2003-09-25T00:00:00+00:00,5.97,6.3,5.61,6.01,977,0,532564
2003-09-26T00:00:00+00:00,6.5600000000000005,6.73,5.6,5.71,1697,0,1087873
2003-09-29T00:00:00+00:00,6.0,6.06,4.78,5.09,1259,0,597592
2003-09-30T00:00:00+00:00,4.97,5.08,4.29,4.9,1215,0,641751
2003-10-01T00:00:00+00:00,4.98,5.16,4.8,4.97,497,0,239600
2003-10-02T00:00:00+00:00,5.1,5.25,4.9,5.15,368,0,228967
2003-10-03T00:00:00+00:00,5.09,5.57,5.09,5.4,569,0,297426
2003-10-06T00:00:00+00:00,5.8100000000000005,5.96,5.6,5.6,434,0,229234
2003-10-07T00:00:00+00:00,5.68,6.08,5.36,6.05,565,0,301222
2003-10-08T00:00:00+00:00,6.07,6.28,5.89,6.28,537,0,338475
2003-10-09T00:00:00+00:00,6.44,6.5,6.08,6.08,533,0,294705
2003-10-10T00:00:00+00:00,6.14,6.35,5.92,6.1,188,0,91175
2003-10-13T00:00:00+00:00,6.05,6.6,5.93,6.5,315,0,193399
2003-10-14T00:00:00+00:00,6.6,7.45,6.5600000000000005,7.38,1246,0,737198
2003-10-15T00:00:00+00:00,7.61,7.7,7.0,7.42,794,0,484770
2003-10-16T00:00:00+00:00,7.36,8.0,7.1,7.99,728,0,490212
2003-10-17T00:00:00+00:00,8.1,8.58,7.4,7.6,1704,0,1201134
2003-10-20T00:00:00+00:00,7.6,7.9399999999999995,7.45,7.73,803,0,341283
2003-10-21T00:00:00+00:00,7.74,7.84,7.47,7.6,285,0,174971
2003-10-22T00:00:00+00:00,7.48,7.5,6.6,7.04,1149,0,513523
2003-10-23T00:00:00+00:00,6.6,7.04,6.45,6.64,497,0,215470
2003-10-24T00:00:00+00:00,6.58,6.6,5.88,6.2,772,0,416686
2003-10-27T00:00:00+00:00,6.19,6.21,5.9,5.9,514,0,288940
2003-10-28T00:00:00+00:00,6.0,6.37,5.54,6.29,1172,0,512567
2003-10-29T00:00:00+00:00,6.25,6.5600000000000005,6.25,6.39,421,0,155654
2003-10-30T00:00:00+00:00,6.44,6.66,5.84,6.08,678,0,197769
2003-10-31T00:00:00+00:00,5.95,6.2,5.9,6.15,362,0,194060
2003-11-03T00:00:00+00:00,6.14,6.32,5.99,6.13,413,0,86383
2003-11-04T00:00:00+00:00,5.86,6.13,5.51,6.13,641,0,385592
2003-11-05T00:00:00+00:00,6.0,6.44,5.9,6.44,282,0,147775
2003-11-06T00:00:00+00:00,6.46,6.7,6.37,6.68,526,0,212270
2003-11-07T00:00:00+00:00,6.55,7.0,6.55,6.88,579,0,147370
2003-11-10T00:00:00+00:00,6.63,6.92,6.2,6.27,224,0,83557
2003-11-11T00:00:00+00:00,6.25,6.32,6.05,6.1,183,0,79708
2003-11-12T00:00:00+00:00,6.05,6.2,6.0,6.05,250,0,119234
2003-11-13T00:00:00+00:00,6.0,6.5,6.0,6.12,299,0,112180
2003-11-14T00:00:00+00:00,6.16,6.5,6.16,6.2,189,0,83535
2003-11-17T00:00:00+00:00,6.11,6.35,5.65,5.9,353,0,132439
2003-11-18T00:00:00+00:00,6.1,6.1,5.8,5.86,117,0,47085
2003-11-19T00:00:00+00:00,5.8100000000000005,5.89,5.76,5.77,91,0,38377
2003-11-20T00:00:00+00:00,5.79,5.9,5.64,5.7,121,0,39548
2003-11-21T00:00:00+00:00,5.65,5.74,5.46,5.51,160,0,80150
2003-11-24T00:00:00+00:00,5.5,5.57,4.97,5.17,873,0,260581
2003-11-25T00:00:00+00:00,5.09,5.57,5.05,5.39,316,0,111940
2003-11-26T00:00:00+00:00,5.22,5.75,5.22,5.51,332,0,112849
2003-11-28T00:00:00+00:00,5.55,5.93,5.5,5.53,168,0,52974
2003-12-01T00:00:00+00:00,5.55,5.62,5.38,5.45,150,0,42295
2003-12-02T00:00:00+00:00,5.4,5.59,5.4,5.5,187,0,68518
2003-12-03T00:00:00+00:00,5.55,5.7,5.44,5.67,184,0,83914
2003-12-04T00:00:00+00:00,5.6,5.67,5.46,5.58,129,0,47170
2003-12-05T00:00:00+00:00,5.46,6.55,5.46,6.29,713,0,314297
2003-12-08T00:00:00+00:00,6.3,6.45,5.68,5.7,238,0,110764
2003-12-09T00:00:00+00:00,5.67,5.67,5.4,5.46,130,0,126837
2003-12-10T00:00:00+00:00,5.42,5.42,5.08,5.16,420,0,232414
2003-12-11T00:00:00+00:00,5.08,5.22,4.79,5.02,260,0,156502
2003-12-12T00:00:00+00:00,5.16,5.46,5.1,5.17,232,0,122480
2003-12-15T00:00:00+00:00,5.57,5.57,4.9,5.0,240,0,89722
2003-12-16T00:00:00+00:00,5.0,5.15,4.75,4.93,159,0,60450
2003-12-17T00:00:00+00:00,4.83,5.01,4.76,4.98,103,0,68704
2003-12-18T00:00:00+00:00,4.71,5.3,4.71,5.27,191,0,105234
2003-12-19T00:00:00+00:00,5.13,5.52,5.13,5.45,124,0,48850
2003-12-22T00:00:00+00:00,5.5,5.67,5.38,5.5,167,0,92088
2003-12-23T00:00:00+00:00,5.55,5.75,5.15,5.35,195,0,108269
2003-12-24T00:00:00+00:00,5.21,5.5,5.21,5.5,61,0,31545
2003-12-26T00:00:00+00:00,5.09,5.39,5.09,5.38,40,0,26930
2003-12-29T00:00:00+00:00,5.1,5.5,5.1,5.5,307,0,144511
2003-12-30T00:00:00+00:00,5.32,5.59,5.32,5.57,181,0,71204
2003-12-31T00:00:00+00:00,5.32,5.5,5.32,5.45,176,0,60154
2004-01-02T00:00:00+00:00,5.65,5.65,5.4,5.49,77,0,46710
2004-01-05T00:00:00+00:00,5.5,5.6,5.24,5.37,138,0,45780
2004-01-06T00:00:00+00:00,5.2,5.75,5.15,5.7,384,0,204012
2004-01-07T00:00:00+00:00,5.75,5.95,5.5,5.6,204,0,90757
2004-01-08T00:00:00+00:00,5.51,6.04,5.5,5.85,267,0,136779
2004-01-09T00:00:00+00:00,5.85,6.11,5.6,5.8,173,0,54938
2004-01-12T00:00:00+00:00,6.5,6.5,5.85,6.0,529,0,265192
2004-01-13T00:00:00+00:00,6.16,6.3,5.87,6.0,182,0,89495
2004-01-14T00:00:00+00:00,6.0,6.4,6.0,6.17,247,0,101090
2004-01-15T00:00:00+00:00,6.27,6.67,6.01,6.52,235,0,119740
2004-01-16T00:00:00+00:00,6.58,6.95,6.52,6.84,412,0,229179
2004-01-20T00:00:00+00:00,6.98,7.15,6.48,6.58,545,0,239984
2004-01-21T00:00:00+00:00,6.65,6.99,6.31,6.75,435,0,219847
2004-01-22T00:00:00+00:00,6.97,6.97,6.5,6.65,177,0,106109
2004-01-23T00:00:00+00:00,6.5600000000000005,6.66,6.26,6.44,170,0,82190
2004-01-26T00:00:00+00:00,6.39,6.78,6.35,6.7,363,0,209948
2004-01-27T00:00:00+00:00,6.6,6.73,6.39,6.64,175,0,118711
2004-01-28T00:00:00+00:00,6.7,6.74,6.0,6.16,242,0,105004
2004-01-29T00:00:00+00:00,6.66,6.71,6.01,6.14,325,0,152765
2004-01-30T00:00:00+00:00,6.06,6.29,6.06,6.22,108,0,63616
2004-02-02T00:00:00+00:00,5.95,6.33,5.87,6.25,143,0,69239
2004-02-03T00:00:00+00:00,6.28,6.63,6.23,6.61,202,0,134712
2004-02-04T00:00:00+00:00,6.61,7.5,6.5,7.35,1109,0,464040
2004-02-05T00:00:00+00:00,7.0,7.28,6.61,6.78,408,0,211606
2004-02-06T00:00:00+00:00,6.78,6.86,6.36,6.65,280,0,111379
2004-02-09T00:00:00+00:00,6.65,6.71,6.42,6.59,173,0,91099
2004-02-10T00:00:00+00:00,6.5,6.85,6.5,6.54,187,0,68350
2004-02-11T00:00:00+00:00,6.5600000000000005,6.59,6.0,6.28,295,0,144058
2004-02-12T00:00:00+00:00,6.05,6.43,6.05,6.15,128,0,45500
2004-02-13T00:00:00+00:00,6.38,6.38,6.09,6.15,99,0,63399
2004-02-17T00:00:00+00:00,6.12,6.24,6.01,6.01,157,0,113958
2004-02-18T00:00:00+00:00,6.01,6.16,5.82,5.82,247,0,111750
2004-02-19T00:00:00+00:00,5.8,6.32,5.8,6.17,223,0,85348
2004-02-20T00:00:00+00:00,5.95,6.19,5.8,6.19,226,0,104364
2004-02-23T00:00:00+00:00,6.09,6.1,5.7,5.83,216,0,65765
2004-02-24T00:00:00+00:00,5.7,5.84,5.46,5.66,235,0,113518
2004-02-25T00:00:00+00:00,5.62,5.7,5.55,5.5600000000000005,130,0,53310
2004-02-26T00:00:00+00:00,6.36,6.75,5.96,6.68,1518,0,847867
2004-02-27T00:00:00+00:00,6.62,7.09,6.5,6.83,426,0,219338
2004-03-01T00:00:00+00:00,6.95,6.95,6.5600000000000005,6.76,156,0,53057
2004-03-02T00:00:00+00:00,6.61,6.84,6.4,6.49,198,0,62077
2004-03-03T00:00:00+00:00,6.43,6.68,6.29,6.5,110,0,35023
2004-03-04T00:00:00+00:00,6.42,6.8,6.3,6.41,264,0,112257
2004-03-05T00:00:00+00:00,6.41,6.55,6.24,6.4,138,0,60230
2004-03-08T00:00:00+00:00,6.6,6.7,6.27,6.49,136,0,41221
2004-03-09T00:00:00+00:00,6.59,6.59,6.27,6.49,180,0,53846
2004-03-10T00:00:00+00:00,6.3,6.45,6.17,6.24,244,0,160462
2004-03-11T00:00:00+00:00,6.26,6.3,6.2,6.22,142,0,56595
2004-03-12T00:00:00+00:00,6.2,6.35,6.12,6.12,87,0,34753
2004-03-15T00:00:00+00:00,6.35,6.42,6.12,6.13,104,0,56065
2004-03-16T00:00:00+00:00,6.38,6.68,6.2,6.54,233,0,97694
2004-03-17T00:00:00+00:00,6.84,6.84,6.53,6.58,95,0,38784
2004-03-18T00:00:00+00:00,6.73,7.33,6.72,7.02,648,0,310276
2004-03-19T00:00:00+00:00,7.2,7.35,6.9,7.02,303,0,199110
2004-03-22T00:00:00+00:00,6.84,6.99,6.53,6.54,209,0,68845
2004-03-23T00:00:00+00:00,6.5600000000000005,6.6,6.5,6.5,86,0,41602
2004-03-24T00:00:00+00:00,6.5,6.59,6.32,6.35,136,0,118178
2004-03-25T00:00:00+00:00,6.14,6.63,6.07,6.5,73,0,36105
2004-03-26T00:00:00+00:00,6.5,6.62,6.45,6.5,85,0,41799
2004-03-29T00:00:00+00:00,6.42,6.63,6.25,6.51,92,0,32630
2004-03-30T00:00:00+00:00,6.41,6.57,6.4,6.51,65,0,18970
2004-03-31T00:00:00+00:00,6.45,6.86,6.31,6.85,115,0,56648
2004-04-01T00:00:00+00:00,6.92,6.97,6.8,6.83,78,0,37689
2004-04-02T00:00:00+00:00,7.0,7.0,6.75,6.77,53,0,10566
2004-04-05T00:00:00+00:00,6.57,6.97,6.44,6.75,95,0,28515
2004-04-06T00:00:00+00:00,6.75,7.02,6.65,7.02,119,0,45650
2004-04-07T00:00:00+00:00,7.15,7.25,6.67,6.6899999999999995,281,0,136877
2004-04-08T00:00:00+00:00,7.0,7.15,6.64,6.92,208,0,68989
2004-04-12T00:00:00+00:00,7.0,7.12,6.8,6.88,155,0,63080
2004-04-13T00:00:00+00:00,7.14,7.18,6.5600000000000005,6.63,214,0,99054
2004-04-14T00:00:00+00:00,6.5,6.82,6.5,6.6,139,0,48195
2004-04-15T00:00:00+00:00,6.51,6.77,6.51,6.63,63,0,25468
2004-04-16T00:00:00+00:00,6.6,6.91,6.6,6.8,161,0,56507
2004-04-19T00:00:00+00:00,6.55,6.8,6.51,6.66,327,0,66250
2004-04-20T00:00:00+00:00,6.61,6.75,6.55,6.58,134,0,37541
2004-04-21T00:00:00+00:00,6.5,6.79,6.45,6.7,92,0,31067
2004-04-22T00:00:00+00:00,6.7,6.7,6.36,6.6,239,0,71025
2004-04-23T00:00:00+00:00,6.5,6.8100000000000005,6.5,6.53,160,0,36515
2004-04-26T00:00:00+00:00,6.55,6.8100000000000005,6.41,6.43,152,0,45031
2004-04-27T00:00:00+00:00,6.43,6.49,6.36,6.37,151,0,69314
2004-04-28T00:00:00+00:00,6.4,6.45,6.21,6.26,495,0,157295
2004-04-29T00:00:00+00:00,6.21,6.26,5.91,6.01,278,0,106200
2004-04-30T00:00:00+00:00,5.86,6.45,5.8100000000000005,6.41,250,0,86870
2004-05-03T00:00:00+00:00,5.99,6.54,5.92,6.28,212,0,47040
2004-05-04T00:00:00+00:00,6.2,6.43,6.0,6.05,163,0,36219
2004-05-05T00:00:00+00:00,6.01,6.24,6.0,6.14,49,0,24525
2004-05-06T00:00:00+00:00,6.01,6.03,5.76,5.87,210,0,66052
2004-05-07T00:00:00+00:00,5.75,5.92,5.64,5.82,63,0,18115
2004-05-10T00:00:00+00:00,5.75,5.8,5.62,5.72,79,0,22019
2004-05-11T00:00:00+00:00,5.7,5.74,5.6,5.66,137,0,55690
2004-05-12T00:00:00+00:00,5.72,5.72,5.53,5.63,71,0,17607
2004-05-13T00:00:00+00:00,5.5,5.6,5.39,5.54,110,0,37781
2004-05-14T00:00:00+00:00,5.3,5.41,5.0,5.15,281,0,68065
2004-05-17T00:00:00+00:00,5.0,5.39,4.84,5.32,422,0,101450
2004-05-18T00:00:00+00:00,5.14,5.29,4.92,5.11,126,0,53410
2004-05-19T00:00:00+00:00,5.09,5.6,5.09,5.39,234,0,45580
2004-05-20T00:00:00+00:00,5.31,5.31,5.1,5.26,61,0,17050
2004-05-21T00:00:00+00:00,5.3,5.35,4.96,5.29,149,0,41927
2004-05-24T00:00:00+00:00,5.22,5.41,5.22,5.37,107,0,34986
2004-05-25T00:00:00+00:00,5.34,5.41,5.25,5.37,99,0,44418
2004-05-26T00:00:00+00:00,5.2,5.6,5.11,5.6,193,0,103486
2004-05-27T00:00:00+00:00,5.55,5.65,5.5,5.65,374,0,121175
2004-05-28T00:00:00+00:00,5.65,6.2,5.61,6.2,255,0,83683
2004-06-01T00:00:00+00:00,5.85,6.05,5.62,6.05,138,0,33345
2004-06-02T00:00:00+00:00,6.13,6.13,5.5,5.65,172,0,52175
2004-06-03T00:00:00+00:00,5.65,5.68,5.57,5.57,31,0,9236
2004-06-04T00:00:00+00:00,5.52,5.89,5.46,5.7,100,0,25883
2004-06-07T00:00:00+00:00,5.55,6.38,5.3,6.16,314,0,148833
2004-06-08T00:00:00+00:00,6.09,6.09,5.92,6.0,201,0,53999
2004-06-09T00:00:00+00:00,5.84,6.3,5.84,6.0,242,0,336158
2004-06-10T00:00:00+00:00,6.0,6.28,5.85,6.25,106,0,36754
2004-06-14T00:00:00+00:00,6.13,6.28,5.93,6.1,90,0,22050
2004-06-15T00:00:00+00:00,6.1,6.47,6.03,6.05,136,0,65360
2004-06-16T00:00:00+00:00,6.25,6.25,6.15,6.15,135,0,49950
2004-06-17T00:00:00+00:00,6.13,6.25,6.1,6.1,145,0,143243
2004-06-18T00:00:00+00:00,6.03,6.48,6.0,6.4,138,0,31508
2004-06-21T00:00:00+00:00,6.42,6.43,6.12,6.15,122,0,41925
2004-06-22T00:00:00+00:00,6.18,6.2,6.13,6.17,78,0,41608
2004-06-23T00:00:00+00:00,6.15,6.23,6.14,6.18,72,0,24468
2004-06-24T00:00:00+00:00,6.1,6.18,6.06,6.17,80,0,27000
2004-06-25T00:00:00+00:00,6.02,6.4,6.01,6.33,212,0,67169
2004-06-28T00:00:00+00:00,6.26,6.48,6.26,6.4,204,0,74405
2004-06-29T00:00:00+00:00,6.31,6.5,6.26,6.47,259,0,70130
2004-06-30T00:00:00+00:00,6.4,6.62,6.4,6.45,290,0,132454
2004-07-01T00:00:00+00:00,6.65,6.65,6.36,6.54,182,0,47269
2004-07-02T00:00:00+00:00,6.53,7.14,6.41,6.74,380,0,118542
2004-07-06T00:00:00+00:00,6.87,7.07,6.6899999999999995,6.93,702,0,199017
2004-07-07T00:00:00+00:00,6.85,7.0,6.55,6.61,936,0,243979
2004-07-08T00:00:00+00:00,6.61,6.73,6.53,6.62,149,0,39736
2004-07-09T00:00:00+00:00,6.5600000000000005,6.9,6.5600000000000005,6.79,23,0,3620
2004-07-12T00:00:00+00:00,6.67,6.67,6.25,6.25,79,0,28210
2004-07-13T00:00:00+00:00,4.9,4.9,3.45,3.91,2593,0,1664153
2004-07-14T00:00:00+00:00,3.95,4.06,3.46,3.62,514,0,731177
2004-07-15T00:00:00+00:00,3.61,3.98,3.61,3.88,552,0,391524
2004-07-16T00:00:00+00:00,3.9699999999999998,4.0,3.6,3.79,182,0,84186
2004-07-19T00:00:00+00:00,3.75,3.9,3.42,3.43,196,0,112232
2004-07-20T00:00:00+00:00,3.46,3.58,2.93,3.14,520,0,431242
