time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,34.07,34.58,34.04,34.33,851,0,243400
2003-09-11T00:00:00+00:00,34.08,35.2,34.08,34.94,682,0,205900
2003-09-12T00:00:00+00:00,34.95,35.75,34.38,35.75,489,0,163400
2003-09-15T00:00:00+00:00,35.65,35.65,35.16,35.22,496,0,157700
2003-09-16T00:00:00+00:00,35.42,35.86,35.4,35.86,406,0,112200
2003-09-17T00:00:00+00:00,35.86,36.08,35.7,35.87,383,0,155400
2003-09-18T00:00:00+00:00,36.09,36.35,35.65,36.35,598,0,184700
2003-09-19T00:00:00+00:00,36.4,36.63,36.27,36.49,413,0,167000
2003-09-22T00:00:00+00:00,36.05,36.29,35.75,36.24,475,0,203900
2003-09-23T00:00:00+00:00,36.24,36.31,35.65,36.0,437,0,122900
2003-09-24T00:00:00+00:00,36.2,36.23,35.66,35.91,455,0,160800
2003-09-25T00:00:00+00:00,35.65,36.14,35.65,35.76,364,0,118100
2003-09-26T00:00:00+00:00,35.5,35.72,35.36,35.41,370,0,128300
2003-09-29T00:00:00+00:00,35.5,35.9,35.05,35.53,389,0,117700
2003-09-30T00:00:00+00:00,32.6,33.57,32.6,33.48,1806,0,1209700
2003-10-01T00:00:00+00:00,33.5,34.34,33.05,34.03,1054,0,490900
2003-10-02T00:00:00+00:00,34.3,34.31,33.35,33.71,922,0,408100
2003-10-03T00:00:00+00:00,34.0,34.34,33.4,33.92,838,0,333500
2003-10-06T00:00:00+00:00,33.7,34.47,33.58,34.19,506,0,203300
2003-10-07T00:00:00+00:00,33.9,34.49,33.59,34.4,833,0,292400
2003-10-08T00:00:00+00:00,34.15,34.7,33.78,33.95,625,0,260600
2003-10-09T00:00:00+00:00,33.88,34.33,33.15,33.59,720,0,318900
2003-10-10T00:00:00+00:00,33.75,34.12,33.55,33.93,620,0,340400
2003-10-13T00:00:00+00:00,34.6,35.05,34.4,34.58,655,0,277600
2003-10-14T00:00:00+00:00,34.95,34.95,34.39,34.47,613,0,235300
2003-10-15T00:00:00+00:00,34.54,34.85,34.33,34.38,688,0,249000
2003-10-16T00:00:00+00:00,34.23,34.63,34.13,34.36,749,0,213100
2003-10-17T00:00:00+00:00,34.37,34.7,34.2,34.39,487,0,174600
2003-10-20T00:00:00+00:00,34.5,34.84,34.3,34.46,593,0,279100
2003-10-21T00:00:00+00:00,34.39,34.5,34.01,34.04,498,0,158700
2003-10-22T00:00:00+00:00,33.95,33.99,33.2,33.29,692,0,272900
2003-10-23T00:00:00+00:00,33.1,33.75,33.08,33.3,466,0,157800
2003-10-24T00:00:00+00:00,33.05,33.32,32.3,32.42,850,0,430600
2003-10-27T00:00:00+00:00,32.42,32.95,32.39,32.5,787,0,322800
2003-10-28T00:00:00+00:00,33.25,33.29,32.25,32.28,993,0,434700
2003-10-29T00:00:00+00:00,32.3,33.45,32.28,33.43,950,0,321000
2003-10-30T00:00:00+00:00,33.83,34.1,33.2,33.41,785,0,312200
2003-10-31T00:00:00+00:00,33.62,34.13,32.85,33.56,870,0,382100
2003-11-03T00:00:00+00:00,33.75,34.36,33.66,33.95,831,0,334459
2003-11-04T00:00:00+00:00,34.35,34.45,33.61,34.11,969,0,444626
2003-11-05T00:00:00+00:00,33.15,33.19,31.14,31.18,3170,0,1967300
2003-11-06T00:00:00+00:00,30.1,30.79,29.47,30.05,3514,0,2922400
2003-11-07T00:00:00+00:00,31.6,32.72,31.25,31.83,2382,0,1942400
2003-11-10T00:00:00+00:00,31.75,32.11,30.89,30.9,1576,0,939500
2003-11-11T00:00:00+00:00,30.5,31.54,30.3,30.76,1272,0,741600
2003-11-12T00:00:00+00:00,30.5,31.18,29.75,31.09,2027,0,1420000
2003-11-13T00:00:00+00:00,30.8,32.06,30.55,31.14,1473,0,968300
2003-11-14T00:00:00+00:00,31.3,31.91,30.88,30.92,1377,0,689000
2003-11-17T00:00:00+00:00,30.92,30.98,30.23,30.63,1248,0,595300
2003-11-18T00:00:00+00:00,30.45,31.44,30.45,30.85,1179,0,552200
2003-11-19T00:00:00+00:00,31.0,31.0,30.48,30.85,1038,0,366700
2003-11-20T00:00:00+00:00,30.65,30.72,30.36,30.57,1002,0,456700
2003-11-21T00:00:00+00:00,30.6,31.45,30.29,30.82,1035,0,647200
2003-11-24T00:00:00+00:00,31.0,31.63,31.0,31.6,832,0,720500
2003-11-25T00:00:00+00:00,31.8,32.85,31.7,32.12,1338,0,798000
2003-11-26T00:00:00+00:00,32.25,32.43,32.22,32.4,960,0,473800
2003-11-28T00:00:00+00:00,32.5,32.55,32.06,32.2,349,0,158000
2003-12-01T00:00:00+00:00,32.2,32.85,32.2,32.8,952,0,329600
2003-12-02T00:00:00+00:00,32.78,32.82,32.13,32.73,931,0,406400
2003-12-03T00:00:00+00:00,32.75,33.09,32.6,33.0,881,0,422900
2003-12-04T00:00:00+00:00,33.15,33.2,32.74,32.95,940,0,492000
2003-12-05T00:00:00+00:00,32.8,32.85,32.5,32.51,719,0,268200
2003-12-08T00:00:00+00:00,32.6,33.11,32.6,33.07,757,0,398200
2003-12-09T00:00:00+00:00,33.0,33.06,32.7,32.76,599,0,272800
2003-12-10T00:00:00+00:00,32.65,32.95,32.51,32.79,680,0,295200
2003-12-11T00:00:00+00:00,32.73,32.74,31.2,32.53,1934,0,1355300
2003-12-12T00:00:00+00:00,32.4,32.53,31.91,32.2,1230,0,1163400
2003-12-15T00:00:00+00:00,32.4,32.54,31.85,31.99,1293,0,728100
2003-12-16T00:00:00+00:00,32.1,32.11,31.35,32.0,1226,0,774700
2003-12-17T00:00:00+00:00,31.99,32.05,31.51,32.05,1089,0,717700
2003-12-18T00:00:00+00:00,32.4,33.4,32.28,33.19,1709,0,1278800
2003-12-19T00:00:00+00:00,33.2,33.5,33.13,33.25,1318,0,550700
2003-12-22T00:00:00+00:00,33.25,33.45,32.87,33.14,849,0,360700
2003-12-23T00:00:00+00:00,33.22,33.22,32.84,33.12,888,0,444600
2003-12-24T00:00:00+00:00,33.0,33.32,32.6,33.29,523,0,346800
2003-12-26T00:00:00+00:00,33.3,33.36,32.9,33.23,364,0,236000
2003-12-29T00:00:00+00:00,33.25,33.97,33.25,33.81,1055,0,570000
2003-12-30T00:00:00+00:00,33.75,34.13,33.65,33.9,1096,0,432600
2003-12-31T00:00:00+00:00,34.45,34.45,33.75,33.83,1019,0,422800
2004-01-02T00:00:00+00:00,34.05,34.6,34.03,34.49,1041,0,414900
2004-01-05T00:00:00+00:00,35.15,35.83,34.84,35.83,1532,0,703600
2004-01-06T00:00:00+00:00,35.95,36.26,35.57,35.74,1606,0,726000
2004-01-07T00:00:00+00:00,36.25,36.25,35.76,36.1,1106,0,461700
2004-01-08T00:00:00+00:00,36.45,36.61,36.05,36.4,1063,0,451700
2004-01-09T00:00:00+00:00,36.4,36.65,36.02,36.25,881,0,333800
2004-01-12T00:00:00+00:00,36.23,37.4,35.92,37.29,1070,0,539900
2004-01-13T00:00:00+00:00,37.45,37.5,36.53,36.9,1063,0,581700
2004-01-14T00:00:00+00:00,37.0,37.15,36.91,37.03,804,0,332000
2004-01-15T00:00:00+00:00,37.25,37.94,37.05,37.32,811,0,363300
2004-01-16T00:00:00+00:00,37.7,38.28,37.6,38.09,1097,0,629100
2004-01-20T00:00:00+00:00,38.1,38.5,37.72,38.38,761,0,338600
2004-01-21T00:00:00+00:00,38.42,38.45,38.11,38.34,814,0,302800
2004-01-22T00:00:00+00:00,38.25,38.72,38.1,38.36,779,0,343700
2004-01-23T00:00:00+00:00,38.55,38.75,37.9,37.98,645,0,489800
2004-01-26T00:00:00+00:00,38.05,38.05,37.6,37.8,743,0,274400
2004-01-27T00:00:00+00:00,37.85,37.85,37.25,37.46,772,0,314100
2004-01-28T00:00:00+00:00,37.61,37.9,36.7,36.73,749,0,264300
2004-01-29T00:00:00+00:00,36.1,37.39,36.02,37.1,1034,0,350300
2004-01-30T00:00:00+00:00,36.9,37.22,36.36,36.85,795,0,267700
2004-02-02T00:00:00+00:00,36.1,37.0,36.1,36.91,740,0,308700
2004-02-03T00:00:00+00:00,37.95,37.95,37.2,37.5,1148,0,457900
2004-02-04T00:00:00+00:00,37.85,37.87,36.6,36.89,739,0,290700
2004-02-05T00:00:00+00:00,37.05,37.19,36.5,36.79,824,0,374300
2004-02-06T00:00:00+00:00,36.76,37.11,36.6,36.8,659,0,235800
2004-02-09T00:00:00+00:00,36.85,36.94,36.04,36.76,725,0,333600
2004-02-10T00:00:00+00:00,36.6,37.46,36.48,37.26,584,0,230100
2004-02-11T00:00:00+00:00,37.35,38.38,37.26,38.06,707,0,297500
2004-02-12T00:00:00+00:00,38.06,38.46,37.9,38.38,514,0,211600
2004-02-13T00:00:00+00:00,38.47,38.8,38.2,38.29,691,0,225800
2004-02-17T00:00:00+00:00,38.5,39.0,38.4,38.71,694,0,280800
