time,open,high,low,close,tick_volume,spread,real_volume
2003-09-10T00:00:00+00:00,25.4,25.58,24.41,24.49,2279,0,2684500
2003-09-11T00:00:00+00:00,24.57,25.18,24.45,25.03,1887,0,1935000
2003-09-12T00:00:00+00:00,25.04,25.11,24.55,24.95,1533,0,1988400
2003-09-15T00:00:00+00:00,24.8,25.0,24.42,24.49,1737,0,1173500
2003-09-16T00:00:00+00:00,24.32,24.84,24.25,24.73,1980,0,2748400
2003-09-17T00:00:00+00:00,24.7,24.75,24.25,24.58,1786,0,2283000
2003-09-18T00:00:00+00:00,24.35,24.73,24.2,24.56,1577,0,1950400
2003-09-19T00:00:00+00:00,24.6,25.09,24.55,25.04,2004,0,3123300
2003-09-22T00:00:00+00:00,24.55,24.68,24.2,24.43,1791,0,1563400
2003-09-23T00:00:00+00:00,24.31,24.69,24.31,24.65,1733,0,1140100
2003-09-24T00:00:00+00:00,24.65,24.65,23.08,23.09,2631,0,3302700
2003-09-25T00:00:00+00:00,23.17,23.82,22.77,22.83,2424,0,2063300
2003-09-26T00:00:00+00:00,22.7,22.94,22.31,22.42,2018,0,1527900
2003-09-29T00:00:00+00:00,22.46,22.9,22.2,22.66,1867,0,1381900
2003-09-30T00:00:00+00:00,22.52,22.52,22.1,22.11,1919,0,1271900
2003-10-01T00:00:00+00:00,22.15,22.52,22.04,22.25,1927,0,2227300
2003-10-02T00:00:00+00:00,22.1,22.18,21.84,21.99,2180,0,2360200
2003-10-03T00:00:00+00:00,23.1,23.47,22.22,22.99,2327,0,3692700
2003-10-06T00:00:00+00:00,23.0,23.23,22.81,23.1,1672,0,904100
2003-10-07T00:00:00+00:00,22.9,23.56,22.7,23.43,2298,0,1824500
2003-10-08T00:00:00+00:00,23.68,23.75,23.22,23.4,2513,0,1581100
2003-10-09T00:00:00+00:00,23.41,23.96,23.41,23.58,2288,0,1412000
2003-10-10T00:00:00+00:00,23.54,23.79,23.48,23.75,1681,0,874300
2003-10-13T00:00:00+00:00,23.8,23.98,23.7,23.87,1448,0,936800
2003-10-14T00:00:00+00:00,23.8,24.15,23.72,24.11,1717,0,1303000
2003-10-15T00:00:00+00:00,24.37,24.5,24.04,24.25,2577,0,2127400
2003-10-16T00:00:00+00:00,24.2,24.39,24.02,24.31,2043,0,1434000
2003-10-17T00:00:00+00:00,24.29,24.29,23.84,23.96,1997,0,1742800
